iteration,z_norm,PSNR_obs,RelMSE_obs,PSNR_holdout,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_abs_D_drift,mean_rel_D_drift,mean_lambda1,mean_lambda2,mean_lambda3,mean_FA_pred,n_observed_vols,n_holdout_vols,subject,sampling_ratio,lambda_dis,lambda_z,loss_signal,loss_dis,loss_z,loss_total
0,0.0,-27.558568981992554,504.65425250212087,-23.318394741191945,170.5092175678996,0.1566807853915402,0.0003758220527910952,0.0004692771534623666,0.00038830204935810363,0.0,0.0,0.0009036691894403113,0.0007836907414517349,0.0007275344335784575,0.11865801364183426,63,45,116726,0.5,0.1,0.0,,,,
10,0.02051413245499134,-27.505410174680076,498.5148002640127,-23.30131938755214,169.84013491657262,0.15652358444147965,0.00037541280192370034,0.0004686648418298603,0.00038793549601686555,8.827245361224128e-06,0.012715664464042925,0.0009042984807805802,0.0007838741839033173,0.0007276449913592084,0.11888221651315689,63,45,116726,0.5,0.1,0.0,577.0661010742188,0.0007534088217653334,0.0003531333932187408,577.066162109375
50,0.05958891659975052,-27.4571583826921,493.00676342520285,-23.273978148322286,168.77425601677018,0.15621670655753758,0.0003746512055542998,0.0004675074252663391,0.00038725648978232504,2.7831787059881758e-05,0.13281682483509147,0.0009057351732058951,0.0007842191749632806,0.0007277682915954003,0.11946102231740952,63,45,116726,0.5,0.1,0.0,897.8309936523438,0.03429659083485603,0.00347704766318202,897.8344116210938
100,0.077448770403862,-27.372040760352405,483.43836789744825,-23.25122080276268,167.89217977523177,0.15593989287770108,0.0003742446386703744,0.00046612368262711345,0.0003871219687236489,3.400317741122727e-05,0.3933760870824252,0.0009055280133076506,0.0007842812986806708,0.0007280362744485548,0.11955267935991287,63,45,116726,0.5,0.1,0.0,1.3908864259719849,0.11608448624610901,0.005945074371993542,1.4024949073791504
200,0.14765691757202148,-27.30112828129848,475.6087841726792,-23.189351368143967,165.51734989602267,0.15529730135378142,0.0003735607258823654,0.0004628713370240736,0.0003870912501801067,5.6037217523948675e-05,2.0986938697870006,0.0009042484277156667,0.000784093626256324,0.000728458177225555,0.11968424171209335,63,45,116726,0.5,0.1,0.0,1.1169886589050293,0.6021190881729126,0.02152835577726364,1.1772005558013916
500,0.38788625597953796,-26.8772481124588,431.38183178065253,-23.19305902454392,165.65871560930827,0.15339626286295185,0.0003731791642625849,0.00045687187624100437,0.00038809674038509367,0.00012580004603997069,12.718556138354707,0.0009072722962365006,0.0007835548689568095,0.0007276517754377826,0.12288960814476013,63,45,116726,0.5,0.1,0.0,2084.91162109375,1.4049638509750366,0.15009722113609314,2085.052001953125
1000,0.5793883204460144,-26.67891506082618,412.1246061351472,-23.30018473326705,169.7957676328441,0.15285525824576596,0.00037372701305409147,0.00045546247873544805,0.00038942597225218766,0.00015326943392616297,15.479334366994077,0.0009059739066733471,0.0007818099131671568,0.0007262272671488104,0.1233537346124649,63,45,116726,0.5,0.1,0.0,5.081216335296631,1.4994018077850342,0.33533549308776855,5.231156349182129
