iteration,latent_norm,PSNR,RelMSE,MSE,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_delta_D_fro,mean_relative_delta_D,mean_D_fro_error_vs_wls,tag,lambda_DTI,lambda_z,scale_dti,L_signal,L_DTI,L_z,L_total
0,0.0,-14.721499063347508,59.07720864650867,29.658549432176496,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0,0.0,0.0007727638114817885,6B_ldti0.01_lz0.1,0.01,0.1,2493.288522031229,1.9373054504394531,0.0007770081283524632,0.0,1.9566785049189148
10,0.02322298288345337,-14.43896437270608,55.356229090088696,27.790504908093823,0.1737094837055598,0.00033253783873783026,0.00044568556039533655,0.00034867509051208183,1.1899449177809708e-05,0.010579519787965683,0.000773103513461506,6B_ldti0.01_lz0.1,0.01,0.1,2493.288522031229,3.2563114166259766,0.0007834249408915639,0.0004397409502416849,3.275888442993164
50,0.06120101362466812,-13.979113777534582,49.794507177037715,24.99835192616735,0.17436796519956319,0.0003330813462298959,0.0004482406203171939,0.00034883410085180153,3.417443388451534e-05,0.038056695656551676,0.0007749057600625565,6B_ldti0.01_lz0.1,0.01,0.1,2493.288522031229,4.234755992889404,0.0007733554812148213,0.0036898364778608084,4.254406929016113
100,0.08227357268333435,-13.589622816656753,45.52315384601764,22.854003084833977,0.1746424540912684,0.0003335469868165322,0.00044873041504673623,0.0003494442915549836,4.5649248719519016e-05,0.05281694656625255,0.0007753196000951976,6B_ldti0.01_lz0.1,0.01,0.1,2493.288522031229,2.1934404373168945,0.0007760506123304367,0.006743383593857288,2.21346378326416
200,0.19415846467018127,-12.151162250589916,32.68784468518103,16.410288834525748,0.17651708998918933,0.00033583798127218906,0.0004557873418750214,0.0003510876939785978,0.00010269020421241245,0.2157890833674321,0.0007810032603083542,6B_ldti0.01_lz0.1,0.01,0.1,2493.288522031229,0.5804761052131653,0.0007726630428805947,0.03762272745370865,0.6035030484199524
500,0.3170599043369293,-6.740134523456749,9.403369743660175,4.720776637233009,0.17874589145758119,0.00033946525258170756,0.0004635532889391068,0.00035422281837777306,0.00015934300318091682,0.43297046046714266,0.0007883391829984647,6B_ldti0.01_lz0.1,0.01,0.1,2493.288522031229,0.2943577766418457,0.0007842557970434427,0.09996494650840759,0.3239080309867859
1000,0.4060022830963135,-0.6244774552945138,2.2999468834191625,1.1546430492581972,0.18081959619850257,0.0003432973448364365,0.0004703067752054649,0.0003579144611709595,0.00019900213749802313,0.6019294517652731,0.0007958566917257455,6B_ldti0.01_lz0.1,0.01,0.1,2493.288522031229,0.2604416012763977,0.0007970025180839002,0.16482692956924438,0.2967958450317383
