iteration,latent_norm,PSNR,RelMSE,MSE,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_delta_D_fro,mean_relative_delta_D,mean_D_fro_error_vs_wls,tag,lambda_DTI,lambda_z,scale_dti,L_signal,L_DTI,L_z,L_total
0,0.0,-14.721499063347508,59.07720864650867,29.658549432176496,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0,0.0,0.0007727638114817885,6B_ldti1_lz0.01,1.0,0.01,2493.288522031229,1.9373054504394531,0.0007770081283524632,0.0,3.874610898385618
10,0.023148976266384125,-14.442537430646638,55.40179089399737,27.813378314681636,0.17370529567988285,0.0003325333457265763,0.00044565425384111433,0.0003486783362752181,1.1837730323980044e-05,0.010480519415547751,0.0007730755019859662,6B_ldti1_lz0.01,1.0,0.01,2493.288522031229,3.2571072578430176,0.0007833956042304635,0.00043672206811606884,5.210342884063721
50,0.06090627238154411,-13.984417255912904,49.855351929794345,25.028897836318905,0.1743635059372685,0.0003330745194478617,0.0004481979595368039,0.0003488387330790044,3.401425669024035e-05,0.037653312056611224,0.0007748660193014025,6B_ldti1_lz0.01,1.0,0.01,2493.288522031229,4.238296031951904,0.0007733000675216317,0.003653906285762787,6.166392803192139
100,0.08202230930328369,-13.594119239508009,45.57031017815148,22.87767699292263,0.17463816014099368,0.0003335397099640091,0.00044868970360591957,0.00034944753339539905,4.551253760142381e-05,0.05238035220740034,0.0007752809345713018,6B_ldti1_lz0.01,1.0,0.01,2493.288522031229,2.1951348781585693,0.0007759994477964938,0.006701583508402109,4.129992961883545
200,0.1939488649368286,-12.165748908614484,32.79781799924788,16.46549877159282,0.17651297539657296,0.00033583151834555347,0.0004557509381261027,0.00035109074420662187,0.00010257821418555726,0.214915725515148,0.0007809679066907309,6B_ldti1_lz0.01,1.0,0.01,2493.288522031229,0.5806587338447571,0.0007726446492597461,0.03754139691591263,2.507460355758667
500,0.3166998028755188,-6.768956685925785,9.465983198670473,4.752210489527114,0.17874028398581857,0.0003394501859900022,0.0004635109021398274,0.00035421605790957023,0.00015918119482063905,0.43166573363790317,0.0007882920474180289,6B_ldti1_lz0.01,1.0,0.01,2493.288522031229,0.294577419757843,0.0007842157501727343,0.0997375100851059,2.2508509159088135
1000,0.40548351407051086,-0.6628406332410801,2.320353342002896,1.164887710008212,0.1808034791162067,0.00034325677438695875,0.00047022506276080903,0.0003578833459399697,0.00019867815037474904,0.5996293231561268,0.0007957586248914926,6B_ldti1_lz0.01,1.0,0.01,2493.288522031229,0.26095008850097656,0.0007969487924128771,0.16440610587596893,2.249617576599121
