name,l2_norm,mean,std,min,max
z_0,0.0,0.0,0.0,0.0,0.0
z_signal,0.013755157589912415,0.0011133556254208088,0.0032535691279917955,-0.006386883556842804,0.00676563149318099
z_DTI,0.027401648461818695,0.0016564276302233338,0.00664713466539979,-0.009266529232263565,0.008714472874999046
z_101309,0.8100023865699768,-0.08235028386116028,0.18499980866909027,-0.39745163917541504,0.21909429132938385
z_102715,0.45507296919822693,-0.002643318846821785,0.11373753100633621,-0.23393964767456055,0.2319958508014679
z_103515,0.7824238538742065,-0.0016140826046466827,0.19559930264949799,-0.4879370927810669,0.24275770783424377
dist_z_signal_to_101309,0.811062216758728,,,,
dist_z_signal_to_102715,0.4639947712421417,,,,
dist_z_signal_to_103515,0.7795308828353882,,,,
dist_z_DTI_to_101309,0.8322790265083313,,,,
dist_z_DTI_to_102715,0.44778892397880554,,,,
dist_z_DTI_to_103515,0.7686359882354736,,,,
