iteration,latent_norm,L_signal,L_DTI,L_z,PSNR,RelMSE,MSE,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_fro_error_vs_wls,mean_relative_delta_D,mean_delta_D_fro,lambda_DTI,lambda_z,tag,weighted_DTI,weighted_z
0,0.0,nan,nan,nan,-14.721499063347508,59.07720864650867,29.658549432176496,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,0.0,1000.0,0.0,lambdaDTI=1000.0,nan,nan
10,0.021676212549209595,6.763368606567383,0.0007853328716009855,0.0003829360066447407,-14.419315532963687,55.10634590922809,27.66505597708273,0.17372592420452612,0.00033255025040759026,0.00044596627134985123,0.0003485979001984713,0.0007733380744413722,0.011158586067184284,1.2124680506709152e-05,1000.0,0.0,lambdaDTI=1000.0,0.7853328716009855,0.0
20,0.038133375346660614,1.9358726739883423,0.0007990853628143668,0.0013686890015378594,-14.201503449815485,52.410753761136654,26.311787012539643,0.17396562919401026,0.00033276019947363296,0.00044677734691019435,0.00034871925866152335,0.0007738838911891102,0.020157309931951403,2.104753406143906e-05,1000.0,0.0,lambdaDTI=1000.0,0.7990853628143668,0.0
