iteration,latent_norm,L_signal,L_DTI,L_z,PSNR,RelMSE,MSE,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_fro_error_vs_wls,mean_relative_delta_D,mean_delta_D_fro,lambda_DTI,lambda_z,tag,dti_ref_scale,L_DTI_scaled,weighted_DTI,weighted_z
0,0.0,nan,nan,nan,-14.721499063347508,59.07720864650867,29.658549432176496,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,0.0,100.0,0.0,lambdaDTI=100.0,0.0007727638114817885,nan,nan,nan
10,0.01976071670651436,6.843640327453613,0.0007843031780794263,0.0003223068779334426,-14.58806979747459,57.28976495435444,28.761198519437976,0.17355290264795595,0.0003323432393005803,0.000444945664996018,0.0003486040842351663,0.000772446735560225,0.007445960970595712,8.878157429703798e-06,100.0,0.0,lambdaDTI=100.0,0.0007727638114817885,1.0149325918556031,101.4932591855603,0.0
50,0.05043092742562294,1.3670357465744019,0.0008014562190510333,0.0024865195155143738,-14.141316824622097,51.689430013158976,25.949660626981935,0.1740821319003647,0.0003327732608836542,0.0004466176202003349,0.0003488743762050267,0.0007735466734011466,0.02313367157916818,2.499910887339494e-05,100.0,0.0,lambdaDTI=100.0,0.0007727638114817885,1.037129595282453,103.7129595282453,0.0
100,0.07258933037519455,1162.48876953125,0.0007578741060569882,0.005224418826401234,-13.870302831736648,48.5624225911828,24.379808118303124,0.1743940457080086,0.0003332326502677231,0.00044731275022189383,0.00034941059442385376,0.0007740843469027754,0.037132214135914866,3.825792408885953e-05,100.0,0.0,lambdaDTI=100.0,0.0007727638114817885,0.9807318805518997,98.07318805518997,0.0
200,0.18842805922031403,0.5578186511993408,0.0007525110268034041,0.03541196137666702,-12.552236450604815,35.850375243911394,17.99797503459838,0.17627784742639332,0.0003355882591871155,0.00045439025791573883,0.00035111611429432157,0.0007798029464732366,0.18305600940275749,9.671630542795367e-05,100.0,0.0,lambdaDTI=100.0,0.0007727638114817885,0.973791753214285,97.3791753214285,0.0
500,0.2902793288230896,0.36565327644348145,0.0008160214638337493,0.08364859223365784,-9.497853020658217,17.744156645242345,8.908104479751927,0.17797391264172618,0.0003381959761950801,0.0004605198050690816,0.00035326572248443254,0.0007853395947539677,0.35195898898540834,0.0001425977651528436,100.0,0.0,lambdaDTI=100.0,0.0007727638114817885,1.055977844341615,105.59778443416151,0.0
1000,0.3805961608886719,0.5743575692176819,0.0007934471359476447,0.14485366642475128,-3.206076975586752,4.167520629220171,2.0922216777526494,0.1797493727119622,0.0003410118700583319,0.00046636473603356486,0.0003558096128574397,0.0007911893020574988,0.5084924497579307,0.0001792801214398439,100.0,0.0,lambdaDTI=100.0,0.0007727638114817885,1.0267653895776971,102.67653895776971,0.0
