iteration,z_norm,PSNR_obs,RelMSE_obs,MSE_obs,PSNR_holdout,RelMSE_holdout,MSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,subject,sampling_ratio,objective,lambda_shape,lambda_z,loss_L_signal,loss_L_directional,loss_L_angular,loss_L_z,loss_L_total
0,0.0,-27.558568981992554,504.65425250212087,569.9764317794567,-23.318394741191945,170.5092175678996,214.70367300677196,0.1566807853915402,0.0003758220527910952,0.0004692771534623666,0.00038830204935810363,0.0008158189911938761,0.0,63,45,116726,0.5,combined,10.0,0.0,,,,,
10,0.020451348274946213,-27.505609762619336,498.53771094608453,563.0681683225354,-23.30040642579215,169.80443534906487,213.8162175764318,0.15651865730037118,0.00037540746581768685,0.0004686371268342824,0.0003879366478155045,0.0008151876881183138,8.793260990848303e-06,63,45,116726,0.5,combined,10.0,0.0,577.2783203125,867.8290405273438,0.03761791065335274,0.0003506845678202808,614.896240234375
50,0.05942513421177864,-27.453626993855785,492.60604662731464,556.3687125145973,-23.273212614774206,168.74450869696832,212.48156747030322,0.1562079811483133,0.00037464079948953044,0.00046745757490281227,0.00038725703783631173,0.0008141277324258219,2.777407420076225e-05,63,45,116726,0.5,combined,10.0,0.0,895.7958984375,6738.99658203125,0.04710857570171356,0.00345575506798923,942.9044799804688
100,0.07777254283428192,-27.368316182574098,483.0239412848944,545.5463045294697,-23.251788437434367,167.91412517280537,211.43595600609544,0.15592879344612068,0.00037423410461532273,0.0004660570621903323,0.00038712599689850856,0.0008130171740723466,3.4133485642892864e-05,63,45,116726,0.5,combined,10.0,0.0,1.3909002542495728,12.62059497833252,0.037570539861917496,0.005994079634547234,15.299899101257324
200,0.1498497873544693,-27.29597591562026,475.0448678810482,536.5344240883919,-23.18749355299074,165.44656039903825,208.32882063906493,0.15526951886322268,0.00037353023938926363,0.000462749354250978,0.00038708199856626115,0.000810603772929159,5.7157802492295524e-05,63,45,116726,0.5,combined,10.0,0.0,1.1195156574249268,13.272594451904297,0.03690946102142334,0.022170165553689003,12.314669609069824
500,0.39003121852874756,-26.867055006985634,430.37054460133726,486.07748005417005,-23.20924605141716,166.27731098483736,209.37489430398318,0.15336543761943397,0.00037328053626800676,0.00045677271734710737,0.0003882545832243889,0.0008097038757383445,0.00012754818593852654,63,45,116726,0.5,combined,10.0,0.0,2087.388916015625,23831.4609375,0.035303156822919846,0.1517953872680664,2122.692138671875
1000,0.5740593671798706,-26.681612442386854,412.38065419781896,465.7589877607602,-23.29739339800714,169.68667008436222,213.66792861443358,0.15287145209373706,0.0003736946128118514,0.00045547574894035976,0.0003893797169566781,0.000810280195882063,0.00015271075270480676,63,45,116726,0.5,combined,10.0,0.0,5.0707173347473145,36.785831451416016,0.04832349345088005,0.32919740676879883,53.39421081542969
