iteration,z_norm,PSNR_obs,RelMSE_obs,MSE_obs,PSNR_holdout,RelMSE_holdout,MSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,subject,sampling_ratio,objective,lambda_shape,lambda_z,loss_L_signal,loss_L_directional,loss_L_angular,loss_L_z,loss_L_total
0,0.0,-14.721499063347508,59.07720864650867,29.658549432176496,nan,nan,nan,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,108,0,106319,1.0,combined,1.0,0.0,,,,,
10,0.014393125660717487,-14.646928375401128,58.07148049649053,29.15364341620129,nan,nan,nan,0.17344181232957964,0.0003324812550681096,0.00044517509162347044,0.0003486174245384253,0.0007730059835485104,4.158785084756732e-06,108,0,106319,1.0,combined,1.0,0.0,11.130085945129395,78.47063446044922,0.045354876667261124,0.00017627075430937111,15.665573120117188
50,0.04704967513680458,-14.21822875570687,52.61298428061162,26.413312863133424,nan,nan,nan,0.1738177994545482,0.0003330759634146315,0.00044612795737821245,0.00034926021192756355,0.0007738527042044857,2.1099916240159948e-05,108,0,106319,1.0,combined,1.0,0.0,0.866181492805481,11.775789260864258,0.042646609246730804,0.0021254420280456543,1.7323627471923828
100,0.07115895301103592,-13.87075931304487,48.56752719282429,24.382370783052938,nan,nan,nan,0.17434153056490811,0.00033358091749944826,0.0004483381232397512,0.00034942224072479183,0.0007755273724813994,3.6615048737897555e-05,108,0,106319,1.0,combined,1.0,0.0,4.280227184295654,50.22190475463867,0.04474988207221031,0.005027668550610542,8.560453414916992
200,0.15875740349292755,-12.844232448952402,38.34363709451288,19.249668056959788,nan,nan,nan,0.1759908152385024,0.00033544471140900143,0.00045405756754331205,0.0003508485213176869,0.0007799788079437854,8.69462862226308e-05,108,0,106319,1.0,combined,1.0,0.0,2.5438830852508545,2.1815316677093506,0.04659964516758919,0.024785151705145836,5.087765693664551
500,0.2946743667125702,-7.340302323078091,10.79693018152848,5.420386217308951,nan,nan,nan,0.17858959354379184,0.0003387198409287689,0.00046402473151333434,0.0003529953148116528,0.0007883937924422528,0.00015155118742014596,108,0,106319,1.0,combined,1.0,0.0,0.3794718086719513,1.9488612413406372,0.04911740869283676,0.08672957122325897,0.7589435577392578
1000,0.36171838641166687,-2.709831968753936,3.717519519828227,1.866307480836307,nan,nan,nan,0.17996157038221183,0.00034149008425117603,0.0004681486189663283,0.00035587313915774917,0.0007931290691728954,0.0001806054271704183,108,0,106319,1.0,combined,1.0,0.0,1.9726332426071167,1.1915664672851562,0.0495791882276535,0.13077060878276825,3.945266008377075
