iteration,z_norm,PSNR_obs,RelMSE_obs,MSE_obs,PSNR_holdout,RelMSE_holdout,MSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,subject,sampling_ratio,objective,lambda_shape,lambda_z,loss_L_signal,loss_L_directional,loss_L_angular,loss_L_z,loss_L_total
0,0.0,-14.721499063347508,59.07720864650867,29.658549432176496,nan,nan,nan,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,108,0,106319,1.0,combined,10.0,0.0,,,,,
10,0.015027050860226154,-14.749659483586724,59.461520313538806,29.8514855379119,nan,nan,nan,0.173306369999454,0.0003323845455981372,0.000444483508290389,0.00034867812707197853,0.0007725013026986613,6.1671215826350176e-06,108,0,106319,1.0,combined,10.0,0.0,11.120552062988281,78.40837860107422,0.04520174860954285,0.0002005687856581062,56.32229995727539
50,0.04657997563481331,-14.33769206979187,54.08032186376212,27.14996080640302,nan,nan,nan,0.17363592446175324,0.0003330169073091432,0.0004450064305283654,0.0003494987619215536,0.0007730604564655036,2.276922355015186e-05,108,0,106319,1.0,combined,10.0,0.0,0.8806179165840149,12.018609046936035,0.04242544621229172,0.0021104239858686924,9.686795234680176
100,0.06839805096387863,-13.929446616818009,49.22828683268598,24.71409215057532,nan,nan,nan,0.17425271127129874,0.0003335701858606113,0.0004477246881786294,0.0003495862192497729,0.0007750649023053612,3.552226409968675e-05,108,0,106319,1.0,combined,10.0,0.0,4.2848052978515625,50.255306243896484,0.04456239566206932,0.004643527790904045,47.132850646972656
200,0.15452469885349274,-12.893206180021515,38.778470773534565,19.467967744089673,nan,nan,nan,0.17585274438500614,0.0003354870926362507,0.00045323750701993634,0.00035111763756119,0.000779399242585246,8.525920232391385e-05,108,0,106319,1.0,combined,10.0,0.0,3.125488758087158,2.693113327026367,0.04635458067059517,0.02343011274933815,34.38037109375
500,0.3073374330997467,-6.882246937656673,9.716162160527906,4.877807911564043,nan,nan,nan,0.17871025776503444,0.00033949805689190767,0.0004638651328646068,0.00035411907493307907,0.0007887492505757364,0.0001577391564847276,108,0,106319,1.0,combined,10.0,0.0,0.3507268726825714,1.821631908416748,0.0487421452999115,0.09433475136756897,3.857994794845581
1000,0.3609137535095215,-3.1584498113892856,4.122066955652536,2.0694025558735833,nan,nan,nan,0.1798733185484683,0.0003416790976743203,0.00046706513676090345,0.00035644081589145685,0.0007923639123278615,0.00018058608258328184,108,0,106319,1.0,combined,10.0,0.0,2.0770938396453857,1.1966664791107178,0.04898716136813164,0.13016898930072784,22.848026275634766
