iteration,z_norm,PSNR_obs,RelMSE_obs,MSE_obs,PSNR_holdout,RelMSE_holdout,MSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,subject,sampling_ratio,objective,lambda_shape,lambda_z,loss_L_signal,loss_L_directional,loss_L_angular,loss_L_z,loss_L_total
0,0.0,-26.476792154685292,125.50527867370413,444.302969100716,nan,nan,nan,0.1747288505215207,0.0003093042149979242,0.0004208497547848601,0.0003233813504104159,0.00072880006256572,0.0,108,0,121618,1.0,directional,0.0,0.0,,,,,
10,0.01991649717092514,-25.471204805778616,99.56421121854004,352.4686381963042,nan,nan,nan,0.17496725052469694,0.0003096911105178907,0.00042195743495657053,0.0003235894984142966,0.0007297045951463088,1.0494091283241843e-05,108,0,121618,1.0,directional,0.0,0.0,5.014031410217285,3.163449764251709,0.04605435952544212,0.000350288551999256,3.163449764251709
50,0.053181957453489304,-23.99034801811533,70.79744400965848,250.63100859695967,nan,nan,nan,0.17544552908052938,0.0003104388107006553,0.00042405571722963664,0.0003240066549904019,0.0007314537003246781,2.9376075856074244e-05,108,0,121618,1.0,directional,0.0,0.0,1.0110975503921509,10.724592208862305,0.045875318348407745,0.002777098212391138,10.724592208862305
100,0.09309598803520203,-22.964054682947143,55.89696722043337,197.88162507755467,nan,nan,nan,0.17601680934431407,0.00031110231573878966,0.00042685282478709715,0.00032411189767297174,0.0007336552098497034,4.9688197839965326e-05,108,0,121618,1.0,directional,0.0,0.0,1.2260535955429077,14.178674697875977,0.050115641206502914,0.008589023724198341,14.178674697875977
200,0.1661301851272583,-21.321679100278487,38.295759485198374,135.57134666404684,nan,nan,nan,0.17715160850742553,0.0003131550536724258,0.0004319260561562244,0.0003254381195610477,0.000738252890596489,8.600529845277629e-05,108,0,121618,1.0,directional,0.0,0.0,21.766223907470703,13.137308120727539,0.04821247607469559,0.027394752949476242,13.137308120727539
500,0.30026474595069885,-18.640524150489107,20.655475253610938,73.1227330065164,nan,nan,nan,0.17957158624166922,0.0003189735819145428,0.0004418061459603069,0.00033054149479951316,0.0007492219967500869,0.00014914387491756574,108,0,121618,1.0,directional,0.0,0.0,1.928541660308838,7.755531311035156,0.04906756058335304,0.08996108174324036,7.755531311035156
1000,0.35813480615615845,-17.577618937253007,16.17129019432618,57.24820759299113,nan,nan,nan,0.18090295284367272,0.0003231298031161495,0.00044684986638234795,0.0003347516235550796,0.0007560610127348503,0.00017874690739679654,108,0,121618,1.0,directional,0.0,0.0,0.7371825575828552,5.620926856994629,0.04840797930955887,0.12821920216083527,5.620926856994629
