iteration,z_norm,PSNR_obs,RelMSE_obs,MSE_obs,PSNR_holdout,RelMSE_holdout,MSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,subject,sampling_ratio,objective,lambda_shape,lambda_z,loss_L_signal,loss_L_directional,loss_L_angular,loss_L_z,loss_L_total
0,0.0,-29.585924173909113,324.4805959439076,909.0597254000431,-22.32784351302471,43.00284182706094,170.91664186581752,0.1747288505215207,0.0003093042149979242,0.0004208497547848601,0.0003233813504104159,0.00072880006256572,0.0,40,68,121618,0.25,combined,0.01,0.0,,,,,
10,0.01844966597855091,-28.76515682890266,268.60370352027604,752.5159039272326,-21.62163313878297,36.549052208315224,145.26577782802838,0.17491746418349371,0.0003096557496551578,0.0004216884607759198,0.00032361718980557935,0.0007294998288997203,8.813387760117184e-06,40,68,121618,0.25,combined,0.01,0.0,8.547348022460938,0.150374174118042,0.04330015927553177,0.00030433537904173136,8.590648651123047
50,0.05801940709352493,-26.947837999088584,176.75842106178666,495.2036076152614,-19.9312800204071,24.765141141572897,98.4301171600019,0.1754827560028009,0.00031055980804987015,0.00042397293108827386,0.0003242101007517055,0.0007313756661831244,3.122465108160465e-05,40,68,121618,0.25,combined,0.01,0.0,1.8982149362564087,10.6248779296875,0.04357694461941719,0.0033266358077526093,1.9171971082687378
100,0.09487279504537582,-25.851217083526382,137.3150128591738,384.69957662627894,-18.46362252969794,17.663430684186032,70.20406392004838,0.17612516701535902,0.00031151150265241784,0.00042687003076739453,0.0003246847770886226,0.0007338117953127614,5.344605397873472e-05,40,68,121618,0.25,combined,0.01,0.0,2.268084764480591,13.811492919921875,0.04698248580098152,0.008929870091378689,2.2907655239105225
200,0.15337233245372772,-24.59299628171539,102.7770011816548,287.93842725740734,-17.042769097290254,12.734729225913352,50.61472828044378,0.17708490280271083,0.0003129761959869519,0.00043142456555575004,0.0003253608299273772,0.0007376856142818747,8.368238940199181e-05,40,68,121618,0.25,combined,0.01,0.0,49.9266357421875,22.57265281677246,0.04560181498527527,0.02345377951860428,49.97223663330078
500,0.22696179151535034,-22.538380688564462,64.03750199474948,179.40645667673456,-16.004756761497205,10.027403277924838,39.85434501723345,0.17852866559637232,0.00031537327721346955,0.0004373670847607206,0.0003269924159791972,0.0007433089421140835,0.00011950521431759804,40,68,121618,0.25,combined,0.01,0.0,4.061769008636475,8.78744125366211,0.0458281971514225,0.05160393565893173,4.102386474609375
1000,0.2469835877418518,-22.392557285605225,61.92300763562888,173.48252259411103,-15.832732319036847,9.637980367717935,38.30656693443024,0.1789380964087332,0.00031555866042045174,0.00043953189811811894,0.0003267351130212223,0.0007450183482283845,0.00012812499129693817,40,68,121618,0.25,combined,0.01,0.0,1.6051733493804932,6.373531818389893,0.0459025576710701,0.061055708676576614,1.621225118637085
