iteration,z_norm,PSNR_obs,RelMSE_obs,MSE_obs,PSNR_holdout,RelMSE_holdout,MSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,subject,sampling_ratio,objective,lambda_shape,lambda_z,loss_L_signal,loss_L_directional,loss_L_angular,loss_L_z,loss_L_total
0,0.0,-16.252616823616705,74.17037443600401,42.195067149618474,-10.830517741174376,29.644441735591176,12.107424627757725,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,63,45,106319,0.5,combined,10.0,0.01,,,,,
10,0.0153201874345541,-16.30862663434568,75.13312496418482,42.742769968888595,-10.93257011899386,30.349288489277473,12.395299131197296,0.17326300643984877,0.0003323228467210393,0.0004443495986989895,0.0003486246999704698,0.0007723820279086884,6.282649845509056e-06,63,45,106319,0.5,combined,10.0,0.01,14.925520896911621,81.3678970336914,0.0449986532330513,0.00020911151659674942,59.92417907714844
50,0.04218045249581337,-16.000295208051078,69.98392725346491,39.81342324760496,-10.54343023144326,27.74818141077141,11.332951316297173,0.17350070095445466,0.0003328442104866546,0.00044462723346819786,0.000349331785909021,0.0007727451795704024,1.9240164663341673e-05,63,45,106319,0.5,combined,10.0,0.01,1.2018413543701172,12.29379940032959,0.04211436212062836,0.001729652751237154,13.220269203186035
100,0.06079091876745224,-15.621055251237596,64.13193064581841,36.48425858183889,-9.908357202770864,23.973266997398248,9.791195457178434,0.17410630035776672,0.0003333278420157362,0.0004472896566261434,0.00034933887618645833,0.0007746745262211193,2.975875085941487e-05,63,45,106319,0.5,combined,10.0,0.01,5.7994256019592285,51.159603118896484,0.044287487864494324,0.0036617701407521963,50.086952209472656
200,0.1427091509103775,-14.895639953331097,54.26662151020373,30.87194524791913,-7.260735675277492,13.030619684702136,5.32198403642365,0.17566501191215733,0.00033506748154823806,0.00045282471644477064,0.00035060344009357677,0.0007789082180111381,7.90307621765617e-05,63,45,106319,0.5,combined,10.0,0.01,6.921736717224121,4.9140472412109375,0.04626444727182388,0.01992003805935383,53.18638229370117
500,0.28324562311172485,-10.22318139538923,18.50490793092155,10.527327638293764,-1.5437695247453453,3.493561995372821,1.42684550846482,0.17823698937787483,0.00033824774789370884,0.00046283128385333,0.0003526103423339591,0.0007872570963092731,0.00014576414598870883,63,45,106319,0.5,combined,10.0,0.01,0.5585487484931946,2.0668749809265137,0.04832075163722038,0.0801115334033966,6.14483642578125
1000,0.34699639678001404,-5.567980196434798,6.335294509151244,3.604109851931441,1.1456587715682405,1.880726417307535,0.7681289310854248,0.1794763414589183,0.00034045352963936644,0.00046686591627701033,0.00035472872056918517,0.0007914494019806614,0.00017265091305562248,63,45,106319,0.5,combined,10.0,0.01,3.52252197265625,1.3523414134979248,0.04940703138709068,0.12031210958957672,38.748939514160156
