adapt_iter,FA_MAE,MD_MAE,signal_PSNR,signal_RelMSE
0,0.23358610092624357,0.0003505586211314041,1.808375716136485,1.3135072948858035
10,0.23474361872946664,0.00035238188348264867,2.283025513075912,1.1775178773102608
50,0.23749852543692845,0.00035672577727364606,3.6360288614851184,0.8623174498210613
100,0.23933469876125105,0.0003600236678254323,4.750155804116601,0.6671976074901049
200,0.24183694892228538,0.00036420434720099747,5.86910882149433,0.5156549351150759
