subject,lambda_dis,lambda_z,z_norm,PSNR_holdout_z0,PSNR_holdout,delta_PSNR_holdout,FA_MAE_z0,FA_MAE,delta_FA_MAE,mean_rel_D_drift,signal_holdout_improve,dti_stable,dti_improved,overfit,over_regularized
106319,0.0,0.0,0.3446570634841919,-10.830517741174376,1.2451844096637696,12.075702150838145,0.17340725400929372,0.1795090219363382,0.006101767927044477,0.5439163541726234,True,False,False,False,False
106319,0.01,0.0,0.3446509838104248,-10.830517741174376,1.2444159516513056,12.074933692825681,0.17340725400929372,0.1795086497890912,0.006101395779797486,0.5437663033010313,True,False,False,False,False
106319,0.1,0.0,0.3445892333984375,-10.830517741174376,1.2369217129675227,12.067439454141898,0.17340725400929372,0.17950516305675543,0.006097909047461714,0.5422221741269604,True,False,False,False,False
120717,0.0,0.0,0.5563938617706299,-20.2717170914211,2.2145918481761115,22.48630893959721,0.17439340322873245,0.1861684055993489,0.01177500237061646,1.2258057911640783,True,False,False,False,False
120717,0.01,0.0,0.556390106678009,-20.2717170914211,2.213742666670082,22.48545975809118,0.17439340322873245,0.18616718965774226,0.011773786429009808,1.2248472511736535,True,False,False,False,False
120717,0.1,0.0,0.5564450025558472,-20.2717170914211,2.2076019454851443,22.479319036906244,0.17439340322873245,0.1861586122019803,0.011765208973247843,1.2145070091719807,True,False,False,False,False
121618,0.0,0.0,0.38905003666877747,-22.296576862951593,-11.797782130949734,10.498794732001858,0.1747288505215207,0.18242675401369657,0.0076979034921758616,0.5502452175746422,True,False,False,False,False
121618,0.01,0.0,0.38898199796676636,-22.296576862951593,-11.799901366304875,10.496675496646718,0.1747288505215207,0.18242603584707018,0.0076971853255494715,0.5500077483852899,True,False,False,False,False
121618,0.1,0.0,0.3889223039150238,-22.296576862951593,-11.804013115691351,10.492563747260242,0.1747288505215207,0.18242566087643336,0.007696810354912653,0.5492937344086888,True,False,False,False,False
116726,0.0,0.0,0.5768490433692932,-23.318394741191945,-23.30050114659201,0.017893594599936335,0.1566807853915402,0.15284681772668932,-0.0038339676648508902,15.49218957361138,True,True,True,False,False
116726,0.01,0.0,0.5761640667915344,-23.318394741191945,-23.298653574697394,0.019741166494551265,0.1566807853915402,0.1528551755511487,-0.003825609840391514,15.461252084355063,True,True,True,False,False
116726,0.1,0.0,0.5793883204460144,-23.318394741191945,-23.30018473326705,0.018210007924896132,0.1566807853915402,0.15285525824576596,-0.003825527145774249,15.479334366994077,True,True,True,False,False
