iteration,z_norm,PSNR_obs,RelMSE_obs,PSNR_holdout,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_abs_D_drift,mean_rel_D_drift,mean_lambda1,mean_lambda2,mean_lambda3,mean_FA_pred,n_observed_vols,n_holdout_vols,subject,sampling_ratio,lambda_dis,lambda_z,loss_signal,loss_dis,loss_z,loss_total
100,0.06483519822359085,-15.611834912030758,63.995919040624976,-9.81605050947916,23.469106348907875,0.17416812672215173,0.000333400225384316,0.0004477752204435814,0.00034928329504552277,3.1431703023850395e-05,0.03195417051575661,0.0009347354352266701,0.0007798096856263885,0.0007175978727779896,0.12383091449737549,63,45,106319,0.5,0.01,0.0,5.7948384284973145,0.005273986142128706,0.004170153755694628,5.794891357421875
200,0.15110018849372864,-14.815524406925494,53.27472662039527,-6.896014320510593,11.980996300194972,0.17582294822454722,0.0003352179400837974,0.00045363395702042146,0.00035060023362683143,8.311837533761983e-05,0.15014872033640633,0.0009329447775762113,0.0007785034313989356,0.000716021071368276,0.12209789454936981,63,45,106319,0.5,0.01,0.0,4.813292026519775,0.08596724271774292,0.022392215207219124,4.814151763916016
500,0.28490176796913147,-9.856161487826471,17.005325057180134,-1.200141646897057,3.2277929351496177,0.17834786209581038,0.00033818700988025996,0.0004636239607838198,0.0003523033613329638,0.00014692062115796045,0.4323753203894396,0.0009328934293527696,0.0007767598241118599,0.0007130207779956805,0.12090523540973663,63,45,106319,0.5,0.01,0.0,0.5661793947219849,0.617021381855011,0.08107010275125504,0.5723496079444885
1000,0.3446509838104248,-5.599105375056985,6.380861624719789,1.2444159516513056,1.8384418888175558,0.1795086497890912,0.00034020954288813474,0.00046761734964678503,0.0003541611647572608,0.00017192276645474356,0.5437663033010313,0.0009309787292021987,0.0007752801161462608,0.00071143333328829,0.12047293782234192,63,45,106319,0.5,0.01,0.0,3.3074536323547363,0.34510326385498047,0.11869582533836365,3.3109047412872314
0,0.0,-16.252616823616705,74.17037443600401,-10.830517741174376,29.644441735591176,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0,0.0,0.0009353858655411461,0.0007801224598863101,0.000718005236156766,0.12456605583429337,63,45,106319,0.5,0.1,0.0,,,,
10,0.010289301164448261,-16.247241822827995,74.07863502021091,-10.833739135382437,29.666438759051257,0.17335832512346258,0.0003323646125925925,0.00044489589400405346,0.0003485209267500186,2.330421528164329e-06,0.0020048062050203406,0.0009352228467178948,0.0007800761297428656,0.0007179935135053089,0.12464078515768051,63,45,106319,0.5,0.1,0.0,14.935843467712402,6.89823500579223e-05,9.23719780985266e-05,14.935850143432617
50,0.039277173578739166,-15.908362274955394,68.51805347270376,-10.39234804104537,26.79947622158898,0.17364176783301052,0.00033288971131691954,0.00044552871881746426,0.0003491361484683153,1.6768309502396256e-05,0.013981533408925795,0.0009339768148100503,0.0007797442854183549,0.0007178604016183282,0.12420887500047684,63,45,106319,0.5,0.1,0.0,1.1878565549850464,0.0013089694548398256,0.0014700829051434994,1.1879874467849731
100,0.06483451277017593,-15.611839198408948,63.99598220303171,-9.816063596998413,23.469177073463868,0.1741681174376069,0.0003334002082901472,0.0004477751952901662,0.00034928327578419895,3.143120519701741e-05,0.03195360527871247,0.0009347354959598866,0.000779809712535269,0.0007175978906331917,0.12383093684911728,63,45,106319,0.5,0.1,0.0,5.794833660125732,0.005273815710097551,0.0041700704023242,5.795361042022705
200,0.15109658241271973,-14.815534999433801,53.27485655842028,-6.896285781121584,11.98174520914041,0.17582282628043064,0.00033521800129554454,0.0004536331643993913,0.0003506005098604077,8.311653340208798e-05,0.1501342892274187,0.0009329435350289865,0.0007785031395670325,0.0007160210896128363,0.12209779769182205,63,45,106319,0.5,0.1,0.0,4.814280986785889,0.0859239473938942,0.022391118109226227,4.822873592376709
500,0.28488028049468994,-9.859961278247502,17.0202101063489,-1.2039465791657475,3.230622101905262,0.1783469591782238,0.00033818902957909674,0.0004636151949777471,0.00035230881558831906,0.00014691358535643849,0.4320102471038826,0.0009328705384208151,0.00077675292000484,0.0007130186618352735,0.12090295553207397,63,45,106319,0.5,0.1,0.0,0.56600421667099,0.6157537698745728,0.08105775713920593,0.6275795698165894
1000,0.3445892333984375,-5.606204516510994,6.391300551479256,1.2369217129675227,1.8416170653946045,0.17950516305675543,0.0003402190513358106,0.00046758264199328175,0.00035418467693804843,0.00017190719995323047,0.5422221741269604,0.0009308851863697431,0.0007752515188607659,0.0007114241557722836,0.12046416103839874,63,45,106319,0.5,0.1,0.0,3.32867431640625,0.3433634042739868,0.11865381896495819,3.3630106449127197
0,0.0,-24.211114565195476,349.36384172029904,-20.2717170914211,176.69717839682042,0.17439340322873245,0.00031255708485506154,0.0004417832094499269,0.00032630802206275763,0.0,0.0,0.000946077168327529,0.0007803006750012899,0.0007168438831373253,0.12615421414375305,63,45,120717,0.5,0.0,0.0,,,,
10,0.018791137263178825,-24.216058126685084,349.7617479927173,-20.253298615681867,175.94939056962406,0.17464651358592645,0.00031275625955435037,0.00044271387022877843,0.00032636636362085757,9.230542174155557e-06,0.00790806415484147,0.0009464800339461163,0.0007805298076929888,0.0007169480586358878,0.1259571611881256,63,45,120717,0.5,0.0,0.0,6782.0859375,0.0003725736460182816,0.0003234411124140024,6782.0859375
50,0.03149177134037018,-24.19323311465545,347.9283436160162,-20.233250920533443,175.13905312761958,0.17472617439728172,0.00031283977912068,0.00044261799312419277,0.000326546203773269,1.3903301294499872e-05,0.011448732177330938,0.0009459010990616715,0.0007804904274651946,0.0007170105148738904,0.1258143037557602,63,45,120717,0.5,0.0,0.0,5.743503570556641,0.001275518792681396,0.0009865104220807552,5.743503570556641
