subject,sampling_ratio,lambda_dis,lambda_z,z_norm,PSNR_obs,PSNR_holdout,RelMSE_obs,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_abs_D_drift,mean_rel_D_drift,mean_lambda1,mean_lambda2,mean_lambda3,PSNR_obs_z0,PSNR_holdout_z0,FA_MAE_z0,MD_MAE_z0,mean_rel_D_drift_z0,mean_abs_D_drift_z0,signal_holdout_improve,dti_stable,dti_improved,overfit_obs_up_hold_down,over_regularized,delta_PSNR_holdout,delta_FA_MAE,delta_rel_D_drift
106319,0.5,0.0,0.0,0.3446570634841919,-5.598309149673094,1.2451844096637696,6.379691879649612,1.8381166163409368,0.1795090219363382,0.0003402087340750815,0.00046762082194378964,0.0003541590206143344,0.00017192520470759996,0.5439163541726234,0.0009309876049755086,0.0007752827819611496,0.0007114341395562129,-16.252616823616705,-10.830517741174376,0.17340725400929372,0.00033228888092181474,0.0,0.0,True,False,False,False,False,12.075702150838145,0.006101767927044477,0.5439163541726234
106319,0.5,0.01,0.0,0.3446509838104248,-5.599105375056985,1.2444159516513056,6.380861624719789,1.8384418888175558,0.1795086497890912,0.00034020954288813474,0.00046761734964678503,0.0003541611647572608,0.00017192276645474356,0.5437663033010313,0.0009309787292021987,0.0007752801161462608,0.00071143333328829,-16.252616823616705,-10.830517741174376,0.17340725400929372,0.00033228888092181474,0.0,0.0,True,False,False,False,False,12.074933692825681,0.006101395779797486,0.5437663033010313
106319,0.5,0.1,0.0,0.3445892333984375,-5.606204516510994,1.2369217129675227,6.391300551479256,1.8416170653946045,0.17950516305675543,0.0003402190513358106,0.00046758264199328175,0.00035418467693804843,0.00017190719995323047,0.5422221741269604,0.0009308851863697431,0.0007752515188607659,0.0007114241557722836,-16.252616823616705,-10.830517741174376,0.17340725400929372,0.00033228888092181474,0.0,0.0,True,False,False,False,False,12.067439454141898,0.006097909047461714,0.5422221741269604
120717,0.5,0.0,0.0,0.5563938617706299,-4.486171602896174,2.2145918481761115,3.7220624736745007,0.9967786345623117,0.1861684055993489,0.0003297502887756089,0.00048095895318615156,0.000341648172204119,0.0002720558851778043,1.2258057911640783,0.0009411673908068471,0.0007725327964767942,0.0007048649202931191,-24.211114565195476,-20.2717170914211,0.17439340322873245,0.00031255708485506154,0.0,0.0,True,False,False,False,False,22.48630893959721,0.01177500237061646,1.2258057911640783
120717,0.5,0.01,0.0,0.556390106678009,-4.489084195113948,2.213742666670082,3.7245595089035923,0.9969735550082469,0.18616718965774226,0.0003297484765124429,0.00048094005077912506,0.0003416524484388497,0.00027205013423011734,1.2248472511736535,0.0009411377096137472,0.000772525133134116,0.0007048635097058694,-24.211114565195476,-20.2717170914211,0.17439340322873245,0.00031255708485506154,0.0,0.0,True,False,False,False,False,22.48545975809118,0.011773786429009808,1.2248472511736535
120717,0.5,0.1,0.0,0.5564450025558472,-4.513732763673185,2.2076019454851443,3.745758506261406,0.9983842261389414,0.1861586122019803,0.0003297396818281808,0.00048073888263152367,0.00034171491751111696,0.00027205964667178996,1.2145070091719807,0.0009407931280116188,0.0007724317759787233,0.0007048413558500415,-24.211114565195476,-20.2717170914211,0.17439340322873245,0.00031255708485506154,0.0,0.0,True,False,False,False,False,22.479319036906244,0.011765208973247843,1.2145070091719807
121618,0.5,0.0,0.0,0.38905003666877747,-17.969307415008203,-11.797782130949734,19.03235577215669,3.8912144752750684,0.18242675401369657,0.0003266251955587424,0.0004521723128122682,0.0003381306244454894,0.00020399890681949072,0.5502452175746422,0.0009063386634109398,0.0007640475265950599,0.0007015992078708548,-28.06488409583863,-22.296576862951593,0.1747288505215207,0.0003093042149979242,0.0,0.0,True,False,False,False,False,10.498794732001858,0.0076979034921758616,0.5502452175746422
121618,0.5,0.01,0.0,0.38898199796676636,-17.969900575049458,-11.799901366304875,19.034955391627584,3.893113742239609,0.18242603584707018,0.00032662929371284,0.00045216444385307475,0.0003381382902526828,0.00020399479542580556,0.5500077483852899,0.0009063111616842578,0.0007640366397377482,0.0007015934508282384,-28.06488409583863,-22.296576862951593,0.1747288505215207,0.0003093042149979242,0.0,0.0,True,False,False,False,False,10.496675496646718,0.0076971853255494715,0.5500077483852899
121618,0.5,0.1,0.0,0.3889223039150238,-17.9713963790685,-11.804013115691351,19.041512570640812,3.8968013525540215,0.18242566087643336,0.000326634840222615,0.0004521394498258646,0.00033815443612594196,0.0002039694756774565,0.5492937344086888,0.0009062343277419318,0.0007640086743022174,0.0007015806391468735,-28.06488409583863,-22.296576862951593,0.1747288505215207,0.0003093042149979242,0.0,0.0,True,False,False,False,False,10.492563747260242,0.007696810354912653,0.5492937344086888
116726,0.5,0.0,0.0,0.5768490433692932,-26.681936574681067,-23.30050114659201,412.4114330543906,169.80813887006406,0.15284681772668932,0.00037372137057451366,0.0004554491740591562,0.00038941499303893383,0.00015316046314576943,15.49218957361138,0.0009060451535974633,0.0007818270838001874,0.0007262249636652964,-27.558568981992554,-23.318394741191945,0.1566807853915402,0.0003758220527910952,0.0,0.0,True,True,True,False,False,0.017893594599936335,-0.0038339676648508902,15.49218957361138
