iteration,z_norm,PSNR_obs,RelMSE_obs,MSE_obs,PSNR_holdout,RelMSE_holdout,MSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,subject,sampling_ratio,objective,lambda_shape,lambda_z,loss_L_signal,loss_L_directional,loss_L_angular,loss_L_z,loss_L_total
100,0.061476681381464005,-17.155638208075995,77.2906091213844,51.94740060788301,-9.95683304999259,24.63042668654841,9.901096765856357,0.17408748862668183,0.0003333088489245251,0.00044756093430576573,0.00034919254947534187,0.0007749552397833602,2.850733490148506e-05,40,68,106319,0.25,combined,0.1,0.0,7.8618035316467285,51.24519729614258,0.043999072164297104,0.0037452499382197857,8.301794052124023
200,0.13833826780319214,-16.64601479301674,68.73285572788933,46.195692232326145,-7.382860716551506,13.61678881856519,5.473764033754057,0.17559026993428406,0.00033487476990382687,0.0004531835067246244,0.0003501772497771208,0.0007792233987646265,7.620511751800704e-05,40,68,106319,0.25,combined,0.1,0.0,11.799792289733887,2.745525598526001,0.046080656349658966,0.018721798434853554,12.260599136352539
500,0.2803138196468353,-12.09712830165206,24.11435995354262,16.207380575071504,-1.7142776771239414,3.6916149674511165,1.4839790426764732,0.17812932771225995,0.0003379699021373257,0.0004632738773468009,0.000352022426969307,0.0007875894105440238,0.00014372694032758685,40,68,106319,0.25,combined,0.1,0.0,0.8214569091796875,2.344519853591919,0.048360675573349,0.07846307754516602,0.9036026000976562
1000,0.34433573484420776,-7.47282944968665,8.314686022303286,5.5883415933624825,0.994264258490673,1.9786191341167463,0.7953779996983942,0.17939047426889043,0.0003399856103392272,0.0004677723330633312,0.0003537466158204271,0.000791996364297488,0.00017098048120957663,40,68,106319,0.25,combined,0.1,0.0,4.7735490798950195,1.327337622642517,0.049674760550260544,0.11847209185361862,5.250904083251953
0,0.0,-17.735472002074985,88.33038214855918,59.367286653315674,-10.857478865965707,30.306551153446964,12.182821655035813,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,40,68,106319,0.25,combined,1.0,0.0,,,,,
10,0.010691565461456776,-17.737655771834064,88.37480862181938,59.39714590569157,-10.87474323575,30.427267599112675,12.23134802548717,0.17334360829729525,0.00033235439995747874,0.0004448244054125691,0.0003485262599249529,0.0007727082797450573,2.6487067219118706e-06,40,68,106319,0.25,combined,1.0,0.0,20.182493209838867,84.79842376708984,0.04457366466522217,9.932338434737176e-05,24.639860153198242
50,0.03819366917014122,-17.45492323705223,82.8047466717109,55.65347972396194,-10.507007152085556,27.956921412111686,11.23830243379147,0.17356531182846932,0.0003328372215734373,0.0004452466592570408,0.0003491272090714175,0.0007731882868549529,1.5697711177018306e-05,40,68,106319,0.25,combined,1.0,0.0,1.6190963983535767,12.32207202911377,0.04147443547844887,0.0013928572880104184,3.238192558288574
100,0.0615348257124424,-17.15314078984042,77.24617579444129,51.91753674911293,-9.961044200782807,24.65432124399502,9.910702053189256,0.17408352430538032,0.0003333109426199985,0.0004475165923831303,0.0003492099091719622,0.0007749217928775363,2.8465423297555203e-05,40,68,106319,0.25,combined,1.0,0.0,7.861789703369141,51.240631103515625,0.04398379474878311,0.0037524783983826637,12.26016902923584
200,0.1383167952299118,-16.647897641508962,68.76266076026248,46.215724341975935,-7.380303693255904,13.60877393476101,5.470542159398319,0.1755895315774485,0.0003348691738418312,0.00045320344328723093,0.0003501620830723088,0.000779236588882237,7.617931433279471e-05,40,68,106319,0.25,combined,1.0,0.0,11.807830810546875,2.74662184715271,0.04608762264251709,0.018716009333729744,16.416593551635742
500,0.2801656126976013,-12.102161581513329,24.142323625263412,16.22617509712095,-1.7166699134589698,3.693648990109995,1.484796692140114,0.1781259221037002,0.0003379575066659771,0.000463274686993223,0.00035200361020617924,0.0007875812989372595,0.0001436587058007588,40,68,106319,0.25,combined,1.0,0.0,0.8226267099380493,2.3480172157287598,0.048365116119384766,0.07838015258312225,1.6452531814575195
