iteration,z_norm,PSNR_obs,RelMSE_obs,MSE_obs,PSNR_holdout,RelMSE_holdout,MSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,subject,sampling_ratio,objective,lambda_shape,lambda_z,loss_L_signal,loss_L_directional,loss_L_angular,loss_L_z,loss_L_total
100,0.06483528017997742,-15.611838454461429,63.99597124050508,36.40691211729099,-9.816053697955196,23.46912357931576,9.585292492620813,0.17416812813259544,0.0003334002287997384,0.0004477752278899869,0.0003492832976398973,0.0007750977646437346,3.143176548633394e-05,63,45,106319,0.5,signal,0.0,0.0,5.7948384284973145,51.105926513671875,0.044412970542907715,0.004170163534581661,5.7948384284973145
200,0.15110057592391968,-14.815520641381465,53.2746804286406,30.307636103421892,-6.895978884693172,11.980898542870614,4.893255449855937,0.17582296277486997,0.00033521793251098565,0.000453634045511847,0.000350600202752071,0.0007795820806018542,8.311858078266878e-05,63,45,106319,0.5,signal,0.0,0.0,4.813185691833496,3.4420957565307617,0.04641377180814743,0.022392332553863525,4.813185691833496
500,0.28490304946899414,-9.855813990990296,17.003964445776013,9.673450175424232,-1.1997663296126684,3.2275140013421724,1.3181858121945105,0.17834793947805586,0.0003381867573127896,0.0004636248459642407,0.00035230273738261686,0.0007878333638512397,0.00014692091389000172,63,45,106319,0.5,signal,0.0,0.0,0.5662009716033936,2.09725284576416,0.0485985167324543,0.08107082545757294,0.5662009716033936
1000,0.3446570634841919,-5.598309149673094,6.379691879649612,3.6293672413364453,1.2451844096637696,1.8381166163409368,0.7507261761876167,0.1795090219363382,0.0003402087340750815,0.00046762082194378964,0.0003541590206143344,0.0007919273669555357,0.00017192520470759996,63,45,106319,0.5,signal,0.0,0.0,3.3053691387176514,1.2988121509552002,0.04986339807510376,0.1187000572681427,3.3053691387176514
0,0.0,-14.721499063347508,59.07720864650867,29.658549432176496,nan,nan,nan,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,108,0,106319,1.0,signal,0.0,0.0,,,,,
10,0.01375515852123499,-14.640239564705148,57.98211022150415,29.108776829252157,nan,nan,nan,0.17345514498388515,0.00033247860528982183,0.0004452807483838642,0.0003485836231622821,0.0007730804355042897,3.843165772879106e-06,108,0,106319,1.0,signal,0.0,0.0,11.131108283996582,78.4789047241211,0.045390114188194275,0.00015942192112561315,11.131108283996582
50,0.0468941256403923,-14.204749192432136,52.449938095120814,26.331458735917604,nan,nan,nan,0.17384048276394007,0.00033307478762448087,0.00044629535143011915,0.00034921009365368564,0.0007739696207890512,2.100080405860904e-05,108,0,106319,1.0,signal,0.0,0.0,0.8646548986434937,11.750313758850098,0.042683620005846024,0.0021075154654681683,0.8646548986434937
100,0.07164169102907181,-13.854208408835353,48.382789241367156,24.289626731822036,nan,nan,nan,0.17436030218109663,0.0003335771500570325,0.0004485043895333446,0.00034936413829631663,0.0007756504607597259,3.6994156516522126e-05,108,0,106319,1.0,signal,0.0,0.0,4.280335426330566,50.227970123291016,0.0448048934340477,0.005096937995404005,4.280335426330566
200,0.15938934683799744,-12.840207389477419,38.30811651367358,19.231835648712718,nan,nan,nan,0.17600725507768133,0.0003354222164589808,0.0004541822059940149,0.0003507902469993511,0.0007800559989572987,8.713998631935982e-05,108,0,106319,1.0,signal,0.0,0.0,2.4727602005004883,2.1137735843658447,0.046637892723083496,0.024990230798721313,2.4727602005004883
500,0.2960807681083679,-7.249393238709008,10.573271510466755,5.308102785109059,nan,nan,nan,0.1786124812798491,0.00033869912720832913,0.0004641494346118414,0.000352936150886551,0.0007884648158507597,0.00015184368791479818,108,0,106319,1.0,signal,0.0,0.0,0.38006797432899475,1.9530510902404785,0.04916321486234665,0.08755888789892197,0.38006797432899475
