subject,sampling_ratio,objective,lambda_shape,lambda_z,z_norm,PSNR_obs,PSNR_holdout,RelMSE_obs,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,delta_PSNR_holdout_vs_z0,delta_FA_MAE_vs_z0,delta_MD_MAE_vs_z0,signal_success,dti_success,overall_status,FA_MAE_z0,MD_MAE_z0,PSNR_holdout_z0,PSNR_obs_z0,n_observed_vols,n_holdout_vols,bestFA_iteration,bestFA_FA_MAE,bestFA_MD_MAE,bestFA_PSNR_holdout,bestFA_PSNR_obs,bestFA_z_norm,bestFA_mean_delta_D,bestFA_delta_PSNR_holdout_vs_z0,bestFA_delta_FA_MAE_vs_z0,bestFA_delta_MD_MAE_vs_z0,bestFA_signal_success,bestFA_dti_success,bestFA_overall_status
106319,0.25,signal,0.0,0.0,0.3443569242954254,-7.471932541452302,0.9954622082541043,8.312969044386728,1.9780734307876053,0.17939093257770358,0.0003399839755692771,0.0004677783723113588,0.0003537425557377213,0.0007920002206932942,0.00017098313535655058,11.85294107421981,0.005983678568409867,7.69509464746234e-06,True,False,FAIL,0.17340725400929372,0.00033228888092181474,-10.857478865965707,-17.735472002074985,40,68,10,0.17334774477342305,0.00033235392902822476,-10.871585031365285,-17.7366471657633,0.010380687192082405,2.3476537579995762e-06,-0.01410616539957843,-5.9509235870669475e-05,6.504810641001649e-08,False,False,MIXED
106319,0.25,angular,0.0,0.0,1.018911600112915,-22.02410684929398,-17.01813794976524,237.12295260424372,125.1994512623247,0.17593540836854218,0.0003667128356239087,0.0004550509540882181,0.0003871706654931316,0.0008012416768726451,0.0003396362458488519,-6.160659083799533,0.002528154359248469,3.442395470209397e-05,False,False,MIXED,0.17340725400929372,0.00033228888092181474,-10.857478865965707,-17.735472002074985,40,68,200,0.16992616073437014,0.0003406355780192267,-12.49514379081937,-18.05255413056623,0.6038188338279724,0.00021699535816782292,-1.637664924853663,-0.0034810932749235746,8.346697097411971e-06,False,False,MIXED
106319,0.25,directional,0.0,0.0,0.5740231275558472,1.1678158908631289,8.671034732532696,1.1370546014918512,0.3378198441084841,0.18557060048653787,0.00035700330329478425,0.0004786054585176652,0.0003749075139267806,0.0008136004522815082,0.00028406275322035975,19.528513598498403,0.012163346477244152,2.4714422372969507e-05,True,False,FAIL,0.17340725400929372,0.00033228888092181474,-10.857478865965707,-17.735472002074985,40,68,0,0.17340725400929372,0.00033228888092181474,-10.857478865965707,-17.735472002074985,0.0,0.0,0.0,0.0,0.0,False,False,MIXED
106319,0.25,combined,0.01,0.0,0.3443548381328583,-7.472031686896331,0.9953373854183357,8.313158824006157,1.978130284441883,0.17939088303651227,0.0003399841379618025,0.0004677777459435196,0.0003537429666017153,0.0007919998154150197,0.00017098283447833994,11.852816251384043,0.005983629027218551,7.695257039987764e-06,True,False,FAIL,0.17340725400929372,0.00033228888092181474,-10.857478865965707,-17.735472002074985,40,68,10,0.17334773110274582,0.00033235391057219677,-10.871600481802766,-17.736656439226884,0.010381469503045082,2.348469826403003e-06,-0.014121615837058954,-5.95229065478986e-05,6.502965038202371e-08,False,False,MIXED
106319,0.25,combined,0.1,0.0,0.34433573484420776,-7.47282944968665,0.994264258490673,8.314686022303286,1.9786191341167463,0.17939047426889043,0.0003399856103392272,0.0004677723330633312,0.0003537466158204271,0.000791996364297488,0.00017098048120957663,11.85174312445638,0.0059832202595967166,7.696729417412446e-06,True,False,FAIL,0.17340725400929372,0.00033228888092181474,-10.857478865965707,-17.735472002074985,40,68,10,0.17334761739586738,0.0003323537627492234,-10.871700208727404,-17.73671149874152,0.010388893075287342,2.355550022339267e-06,-0.014221342761697287,-5.96366134263393e-05,6.488182740865215e-08,False,False,MIXED
106319,0.25,combined,1.0,0.0,0.3441906273365021,-7.478219340306065,0.9886999235139429,8.32501152054488,1.9811558358559351,0.1793871689484695,0.0003399828114859712,0.00046775167667522017,0.0003537482248914648,0.0007919747582328585,0.00017094674617632152,11.84617878947965,0.0059799149391757955,7.693930564156462e-06,True,False,FAIL,0.17340725400929372,0.00033228888092181474,-10.857478865965707,-17.735472002074985,40,68,10,0.17334360829729525,0.00033235439995747874,-10.87474323575,-17.737655771834064,0.010691565461456776,2.6487067219118706e-06,-0.01726436978429291,-6.364571199846125e-05,6.551903566399692e-08,False,False,MIXED
106319,0.25,combined,10.0,0.0,0.34088894724845886,-7.4822152568874625,0.9107230258634093,8.332674836935178,2.017048439060553,0.17936190076475228,0.00034017978133446135,0.00046728218337811593,0.00035415867557269493,0.0007917280683747261,0.00017098800180123406,11.768201891829117,0.005954646755458565,7.890900412646604e-06,True,False,FAIL,0.17340725400929372,0.00033228888092181474,-10.857478865965707,-17.735472002074985,40,68,10,0.17325251825479068,0.0003323195818343874,-10.974199518198022,-17.793911617103802,0.015617470256984234,6.475021920427464e-06,-0.1167206522323152,-0.00015473575450303256,3.070091257264965e-08,False,True,MIXED
106319,0.5,signal,0.0,0.0,0.3446570634841919,-5.598309149673094,1.2451844096637696,6.379691879649612,1.8381166163409368,0.1795090219363382,0.0003402087340750815,0.00046762082194378964,0.0003541590206143344,0.0007919273669555357,0.00017192520470759996,12.075702150838145,0.006101767927044477,7.919853153266732e-06,True,False,FAIL,0.17340725400929372,0.00033228888092181474,-10.830517741174376,-16.252616823616705,63,45,10,0.17335832499452855,0.0003323646125254163,-10.833742393025425,-16.247244211468576,0.010289322584867477,2.330460220237636e-06,-0.003224651851049032,-4.8929014765164425e-05,7.57316036015818e-08,False,False,MIXED
106319,0.5,angular,0.0,0.0,1.0307767391204834,-20.70033825370566,-17.05057599960061,206.53925895898482,124.15067981170917,0.17717101736957522,0.00037004554271315154,0.0004593535091072943,0.00039021978270794005,0.0008063307931983145,0.00034989468577206387,-6.220058258426235,0.0037637633602815024,3.77566617913368e-05,False,False,MIXED,0.17340725400929372,0.00033228888092181474,-10.830517741174376,-16.252616823616705,63,45,200,0.1699807541389283,0.00034080791775584435,-12.471077064626641,-16.716553302194093,0.6037672758102417,0.00021767235572780184,-1.6405593234522655,-0.003426499870365418,8.519036834029605e-06,False,False,MIXED
106319,0.5,directional,0.0,0.0,0.563312292098999,2.7862042233235873,8.88293241453432,0.9254402127488826,0.3166636844347554,0.1859941679795001,0.0003557541021124357,0.0004838361656448544,0.0003716850340383545,0.0008163162355523307,0.0002799506338705206,19.713450155708696,0.012586913970206393,2.346522119062096e-05,True,False,FAIL,0.17340725400929372,0.00033228888092181474,-10.830517741174376,-16.252616823616705,63,45,0,0.17340725400929372,0.00033228888092181474,-10.830517741174376,-16.252616823616705,0.0,0.0,0.0,0.0,0.0,False,False,MIXED
