iteration,z_norm,PSNR_obs,RelMSE_obs,PSNR_holdout,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,signal_loss_obs,L_directional,L_angular,L_z,objective,lambda_shape,lambda_z,subject,sampling_ratio
0,0.0,-28.06488409583863,194.55850276164765,-22.296576862951593,43.648029486668385,0.1747288505215207,0.0003093042149979242,0.0004208497547848601,0.0003233813504104159,0.00072880006256572,0.0,63,45,nan,nan,nan,nan,combined,10.0,0.0,121618,0.5
10,0.021549206227064133,-27.011289864208837,152.64788533529247,-21.38929692985399,35.419028814970666,0.17497751499481948,0.00030972164331350365,0.00042194660087623725,0.00032363604485985626,0.0007296898440079097,1.102148251124292e-05,63,45,6.6239142417907715,2.845506191253662,0.044898007065057755,0.00040077292942442,combined,10.0,0.0,121618,0.5
50,0.06622521579265594,-25.07943666200368,97.83752821644121,-19.54763410464711,23.177701543172773,0.175658991167596,0.00031072094987953533,0.00042480079775237905,0.00032419852996374367,0.0007319968416929359,3.687609603733047e-05,63,45,1.354540467262268,0.4568592607975006,0.04483681544661522,0.004342982545495033,combined,10.0,0.0,121618,0.5
100,0.10740148276090622,-24.091521137548824,77.93165865653373,-18.02152363859124,16.310201242617225,0.17636673269931566,0.00031178235907615426,0.00042796601715978363,0.00032475357012322554,0.0007346756346020502,6.058321803589818e-05,63,45,1.6393063068389893,0.5537149310112,0.04822389408946037,0.01142173446714878,combined,10.0,0.0,121618,0.5
200,0.16106145083904266,-22.751313104278438,57.23914214923811,-16.86701101005766,12.50282224403211,0.17727883521522178,0.00031321464617112125,0.00043217143021528074,0.0003254890426884026,0.0007383217746336518,8.806014130570713e-05,63,45,20.91598129272461,10.991231918334961,0.04653071239590645,0.025866860523819923,combined,10.0,0.0,121618,0.5
500,0.2426377385854721,-20.864066769927888,37.06538221359511,-15.630154722745708,9.404212370434072,0.17890232527383862,0.0003163702703075076,0.00043872484462977946,0.0003279942800886414,0.0007449505144967024,0.00012818470453034093,63,45,2.8459043502807617,0.8012571930885315,0.04715137183666229,0.05903128534555435,combined,10.0,0.0,121618,0.5
1000,0.3890428841114044,-17.970064401416256,19.035673449657793,-11.800578015683454,3.893720353267462,0.1824251648273491,0.00032662852781240823,0.0004521580310517691,0.00033813921451185885,0.0007624982151091654,0.000203983889329673,63,45,1.134473204612732,0.25052231550216675,0.04717104136943817,0.151048943400383,combined,10.0,0.0,121618,0.5
