iteration,z_norm,PSNR_obs,RelMSE_obs,PSNR_holdout,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,signal_loss_obs,L_directional,L_angular,L_z,objective,lambda_shape,lambda_z,subject,sampling_ratio
0,0.0,-27.558568981992554,504.65425250212087,-23.318394741191945,170.5092175678996,0.1566807853915402,0.0003758220527910952,0.0004692771534623666,0.00038830204935810363,0.0008158189911938761,0.0,63,45,nan,nan,nan,nan,combined,10.0,0.0,116726,0.5
10,0.020513800904154778,-27.505411923961503,498.515001059301,-23.30131053859691,169.83978885962696,0.15652352466377706,0.00037541273181590463,0.0004686645306849445,0.00038793549449073813,0.0008152090403757485,8.827135891408125e-06,63,45,577.06787109375,163.75071716308594,0.03762255236506462,0.0003531191614456475,combined,10.0,0.0,116726,0.5
50,0.059593066573143005,-27.45710609310742,493.0008275994471,-23.273970306141237,168.7739512564906,0.15621648516067618,0.00037465091805299406,0.0004675064273062115,0.00038725637555214406,0.0008141659935583296,2.7835502785221362e-05,63,45,897.8130493164062,484.6767578125,0.0471193790435791,0.003477475605905056,combined,10.0,0.0,116726,0.5
100,0.07748965173959732,-27.371928193082265,483.42583754434315,-23.251240842544636,167.8929544869946,0.15593907931135448,0.0003742436979214965,0.0004661204969084094,0.0003871215136062297,0.0008130648009691373,3.4030533665159065e-05,63,45,1.3909541368484497,0.6226630210876465,0.037577588111162186,0.005951243452727795,combined,10.0,0.0,116726,0.5
200,0.14792530238628387,-27.30005956338786,475.4917600998797,-23.18927603006529,165.5144786527785,0.155292309587661,0.0003735552164249639,0.0004628533756705097,0.00038708811738063603,0.0008106584752611,5.620260545469946e-05,63,45,1.1175670623779297,0.48246490955352783,0.0369131900370121,0.0216054804623127,combined,10.0,0.0,116726,0.5
500,0.3893504738807678,-26.874722042716947,431.1309919041135,-23.199574260184686,165.90742140664477,0.15336340970526685,0.0003732321676282128,0.0004567992811422072,0.0003881781304960981,0.0008096590282332213,0.00012691273999657557,63,45,2085.2431640625,977.7149658203125,0.03580346331000328,0.15123477578163147,combined,10.0,0.0,116726,0.5
1000,0.5768696665763855,-26.68187092752691,412.40519916622685,-23.30047989565014,169.80730796518066,0.15284691397664749,0.0003737212574921871,0.00045544932162836085,0.00038941486526996455,0.0008103466352230315,0.00015316009914113392,63,45,5.083082675933838,1.7154704332351685,0.04832274839282036,0.3324335217475891,combined,10.0,0.0,116726,0.5
