iteration,z_norm,PSNR_obs,RelMSE_obs,PSNR_holdout,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,signal_loss_obs,L_directional,L_angular,L_z,objective,lambda_shape,lambda_z,subject,sampling_ratio
0,0.0,-16.252616823616705,74.17037443600401,-10.830517741174376,29.644441735591176,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,63,45,nan,nan,nan,nan,combined,0.0,0.001,106319,0.5
10,0.010289318859577179,-16.247244200675254,74.07867557972402,-10.833742257659472,29.666460087177132,0.17335832489386444,0.0003323646125420827,0.00044489588912372154,0.00034852092807415404,0.0007727617734949989,2.3304595591954223e-06,63,45,14.935843467712402,5.840728282928467,0.04512885585427284,9.237219637725502e-05,combined,0.0,0.001,106319,0.5
50,0.03927742317318916,-15.908367714513059,68.5181392919236,-10.392357853903555,26.79953677491574,0.17364175420289094,0.0003328897133371124,0.00044552862916830485,0.00034913617642467825,0.0007733790405205264,1.676859918226623e-05,63,45,1.1878573894500732,0.4588570296764374,0.042300231754779816,0.00147010397631675,combined,0.0,0.001,106319,0.5
100,0.06483525782823563,-15.611833830226807,63.99590309959136,-9.81604763666011,23.469090824309642,0.1741681280068836,0.000333400228640684,0.00044777522734598554,0.0003492832974742461,0.0007750977642481896,3.143176202117758e-05,63,45,5.7948384284973145,2.2241735458374023,0.044412970542907715,0.004170160740613937,combined,0.0,0.001,106319,0.5
200,0.1511005461215973,-14.8155215641485,53.274691748177496,-6.895981552052999,11.980905901328663,0.1758229624441049,0.00033521793229468667,0.0004536340444972042,0.0003506002026904737,0.0007795820805097482,8.311856779700174e-05,63,45,4.8131890296936035,1.5401297807693481,0.04641377180814743,0.02239232510328293,combined,0.0,0.001,106319,0.5
500,0.2849029004573822,-9.855829168456468,17.004023870327064,-1.1997819590823697,3.22752561659983,0.1783479378579855,0.00033818675373022583,0.0004636248411848065,0.00035230273374399425,0.0007878333572998074,0.00014692087820592683,63,45,0.5662011504173279,0.17957524955272675,0.0485985167324543,0.08107075095176697,combined,0.0,0.001,106319,0.5
1000,0.34465640783309937,-5.5983218192999304,6.379710491084185,1.2451770818869623,1.8381197177664061,0.17950901872402744,0.00034020872142255277,0.0004676208083142082,0.00035415900724808055,0.0007919273452021544,0.0001719250990206285,63,45,3.3053805828094482,0.24536679685115814,0.04986339807510376,0.11869959533214569,combined,0.0,0.001,106319,0.5
