iteration,z_norm,PSNR_obs,RelMSE_obs,PSNR_holdout,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,signal_loss_obs,L_directional,L_angular,L_z,objective,lambda_shape,lambda_z,subject,sampling_ratio
0,0.0,-26.476792154685292,125.50527867370413,nan,nan,0.1747288505215207,0.0003093042149979242,0.0004208497547848601,0.0003233813504104159,0.00072880006256572,0.0,108,0,nan,nan,nan,nan,signal,0.0,0.0,121618,1.0
10,0.023562196642160416,-25.297307008256237,95.65627784832351,nan,nan,0.17501259254611862,0.0003097568895974249,0.00042213229082452394,0.0003236312701653849,0.0007298278465842563,1.2405925434627272e-05,108,0,5.008147716522217,2.760223150253296,0.04656312242150307,0.00047178988461382687,signal,0.0,0.0,121618,1.0
50,0.06951693445444107,-23.42044877068,62.09085696882724,nan,nan,0.17571736929569637,0.00031075887439900135,0.0004251662008268098,0.0003241424109342885,0.0007322699842678532,3.8911841702236644e-05,108,0,0.9741119742393494,0.4508298635482788,0.04597681015729904,0.004787968471646309,signal,0.0,0.0,121618,1.0
100,0.10864561796188354,-22.45069966638035,49.665263449009096,nan,nan,0.17639360375811125,0.0003117691569535838,0.000428147036736605,0.0003246845878521338,0.0007347907257793625,6.120892626923215e-05,108,0,1.1880383491516113,0.5523167848587036,0.05017458274960518,0.011691749095916748,signal,0.0,0.0,121618,1.0
200,0.1663767695426941,-20.89591496413091,34.719564841693526,nan,nan,0.1774014423538072,0.00031348169889233436,0.00043258896064142434,0.00032573865661844517,0.0007387788926692182,9.109815441569014e-05,108,0,11.35779857635498,7.250839710235596,0.048223305493593216,0.027463382109999657,signal,0.0,0.0,121618,1.0
500,0.29071494936943054,-18.5600505941978,20.27625929105976,nan,nan,0.1797674416929284,0.00031957782339667797,0.00044200524230553006,0.0003313500180021442,0.0007496931143698926,0.00015192680123279125,108,0,1.916155457496643,0.750179648399353,0.048795003443956375,0.08405613899230957,signal,0.0,0.0,121618,1.0
1000,0.4259803295135498,-16.268165473234124,11.961876774628884,nan,nan,0.18300815663967301,0.0003296484582377668,0.00045355910793088756,0.00034181712170319153,0.0007660416865694374,0.000218802558070746,108,0,0.7622421979904175,0.249602809548378,0.04826391115784645,0.18125708401203156,signal,0.0,0.0,121618,1.0
