iteration,z_norm,PSNR_obs,RelMSE_obs,PSNR_holdout,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,signal_loss_obs,L_directional,L_angular,L_z,objective,lambda_shape,lambda_z,subject,sampling_ratio
0,0.0,-14.721499063347508,59.07720864650867,nan,nan,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,108,0,nan,nan,nan,nan,directional,0.0,0.0,106319,1.0
10,0.02070584148168564,-14.472849893593473,55.789831542968045,nan,nan,0.17366610232468993,0.00033246511029070327,0.00044578969888677943,0.000348511142383253,0.0007731769132378392,1.0057479455000518e-05,108,0,11.136078834533691,5.816413879394531,0.04547366127371788,0.00037578289629891515,directional,0.0,0.0,106319,1.0
50,0.06289925426244736,-14.01171288109958,50.16968206331923,nan,nan,0.17428909826396183,0.00033302482120962034,0.0004476040711144187,0.0003489492804267564,0.0007743385413262624,3.2748064434557535e-05,108,0,0.8211768865585327,0.41738587617874146,0.0428243912756443,0.0038310266099870205,directional,0.0,0.0,106319,1.0
100,0.12999607622623444,-13.256390227437675,42.16082334155324,nan,nan,0.17540085098071448,0.0003337137025271803,0.00045253788474486974,0.00034882053062049796,0.0007777769471426605,6.733526663455287e-05,108,0,4.221095561981201,2.1539533138275146,0.04570828750729561,0.016626909375190735,directional,0.0,0.0,106319,1.0
200,0.18658548593521118,-12.474881456125601,35.21747429748863,nan,nan,0.17652957476217448,0.0003350744669164828,0.0004561336008738474,0.0003499720625285513,0.000780671526441692,9.826144641145205e-05,108,0,1.3982914686203003,0.5564984679222107,0.04701877385377884,0.034709274768829346,directional,0.0,0.0,106319,1.0
500,0.2850451171398163,-8.583555239419992,14.375586911464827,nan,nan,0.17847397960954745,0.00033723818527867837,0.0004627819694054097,0.0003514906896282501,0.0007861022519792292,0.0001427971038412992,108,0,0.4329260289669037,0.18839332461357117,0.04912732541561127,0.08111575990915298,directional,0.0,0.0,106319,1.0
1000,0.3378572165966034,-5.1521744176177755,6.523602679936001,nan,nan,0.1796771543784718,0.00033904516031171004,0.000466325431287296,0.00035327161341979467,0.0007895636586007684,0.00016574684516141504,108,0,2.4347620010375977,0.31186771392822266,0.04995463415980339,0.11402184516191483,directional,0.0,0.0,106319,1.0
