iteration,z_norm,PSNR_obs,RelMSE_obs,PSNR_holdout,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,signal_loss_obs,L_directional,L_angular,L_z,objective,lambda_shape,lambda_z,subject,sampling_ratio
0,0.0,-28.06488409583863,194.55850276164765,-22.296576862951593,43.648029486668385,0.1747288505215207,0.0003093042149979242,0.0004208497547848601,0.0003233813504104159,0.00072880006256572,0.0,63,45,nan,nan,nan,nan,combined,1.0,0.0,121618,0.5
10,0.021549301221966743,-27.011254559016848,152.64664441669498,-21.38927541733811,35.418853369376855,0.17497752002698422,0.00030972163195338464,0.00042194664857833115,0.00032363601596440106,0.0007296898707670789,1.1021615818852199e-05,63,45,6.623916149139404,2.8455047607421875,0.04489801824092865,0.00040077604353427887,combined,1.0,0.0,121618,0.5
50,0.06622631847858429,-25.0793773942993,97.83619304724726,-19.547599021991054,23.17751431259975,0.17565900619531524,0.0003107208520879035,0.00042480114424450836,0.0003241982807479496,0.0007319970350720046,3.687671941371758e-05,63,45,1.3545572757720947,0.4568631649017334,0.044836923480033875,0.004343125969171524,combined,1.0,0.0,121618,0.5
100,0.1074051633477211,-24.09157303074272,77.93258985575518,-18.021560060071597,16.310338026341142,0.17636677157609984,0.0003117822024968977,0.0004279666351512824,0.00032475315194344323,0.000734675998630459,6.058446288873191e-05,63,45,1.6393293142318726,0.5537169575691223,0.04822404682636261,0.011422518640756607,combined,1.0,0.0,121618,0.5
200,0.16102173924446106,-22.751428898223057,57.240668310562306,-16.86713451784061,12.503177813323926,0.17727876246397647,0.00031321469164418466,0.0004321702085229184,0.000325489546999405,0.0007383207316870534,8.805402274940977e-05,63,45,20.948801040649414,11.008415222167969,0.04653030261397362,0.025853656232357025,combined,1.0,0.0,121618,0.5
500,0.24256150424480438,-20.864052818052908,37.06526313983995,-15.630341852202744,9.40461758927566,0.178903076206359,0.0003163715812111239,0.0004387270328042685,0.0003279955310357508,0.0007449526409075323,0.0001281946436157937,63,45,2.8459646701812744,0.8012409806251526,0.047151386737823486,0.05899403989315033,combined,1.0,0.0,121618,0.5
1000,0.389046311378479,-17.96936672768457,19.032615703542874,-11.79796958519418,3.8913824351368924,0.18242670520654372,0.0003266255220411134,0.0004521714223900869,0.0003381313383107742,0.0007625061422334401,0.0002039984743348826,63,45,1.134850025177002,0.25042614340782166,0.04717691242694855,0.15105180442333221,combined,1.0,0.0,121618,0.5
