iteration,z_norm,PSNR_obs,RelMSE_obs,PSNR_holdout,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,signal_loss_obs,L_directional,L_angular,L_z,objective,lambda_shape,lambda_z,subject,sampling_ratio
0,0.0,-17.735472002074985,88.33038214855918,-10.857478865965707,30.306551153446964,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,40,68,nan,nan,nan,nan,angular,0.0,0.0,106319,0.25
10,0.038378216326236725,-17.915209475256454,92.06273158702717,-11.26047275254769,33.253388457681275,0.17292105367629218,0.0003321722174810834,0.0004426521967368397,0.0003488826383826834,0.0007711671856985293,1.8138537370271546e-05,40,68,20.134464263916016,5.8652143478393555,0.044024329632520676,0.0012000997085124254,angular,0.0,0.0,106319,0.25
50,0.17841093242168427,-18.23289886851885,99.04961595708404,-12.086764081259634,40.22212751983235,0.17160493877797817,0.00033206308860140606,0.00043447252459835893,0.0003510379063613002,0.0007658251297854277,7.391396142411709e-05,40,68,1.8608554601669312,0.534837543964386,0.039541393518447876,0.03064623475074768,angular,0.0,0.0,106319,0.25
100,0.34779614210128784,-18.28137775458848,100.1614688131979,-12.442623493597173,43.65670757906281,0.170661161945751,0.0003332363943134935,0.00042694202329195135,0.0003543890793966868,0.0007616710625882052,0.00013255067661657662,40,68,8.002477645874023,2.3208255767822266,0.03889594227075577,0.1187223345041275,angular,0.0,0.0,106319,0.25
200,0.6038188338279724,-18.05255413056623,95.02072116597249,-12.49514379081937,44.18786408449591,0.16992616073437014,0.0003406355780192267,0.00042465440529157423,0.00036243788925957327,0.0007645289945007215,0.00021699535816782292,40,68,787.4213256835938,170.13787841796875,0.036466702818870544,0.36222609877586365,angular,0.0,0.0,106319,0.25
500,0.8391660451889038,-22.081834890175102,240.2959206698201,-16.971379765408358,123.85872554043341,0.17129848226261193,0.0003529224886065688,0.0004370771072290396,0.0003740601432274853,0.0007805808989787078,0.00028899848935287273,40,68,8.774518013000488,1.7177814245224,0.035599905997514725,0.7037608027458191,angular,0.0,0.0,106319,0.25
1000,1.0189156532287598,-22.024095403975682,237.12232769552278,-17.018147751358,125.19973382530226,0.17593583408094549,0.0003667141845953176,0.00045505264377342585,0.00038717191567232123,0.0008012437538082888,0.0003396405469914081,40,68,34.81165313720703,8.57463264465332,0.03478220850229263,1.0376434326171875,angular,0.0,0.0,106319,0.25
