iteration,z_norm,PSNR_obs,RelMSE_obs,PSNR_holdout,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,signal_loss_obs,L_directional,L_angular,L_z,objective,lambda_shape,lambda_z,subject,sampling_ratio
0,0.0,-28.06488409583863,194.55850276164765,-22.296576862951593,43.648029486668385,0.1747288505215207,0.0003093042149979242,0.0004208497547848601,0.0003233813504104159,0.00072880006256572,0.0,63,45,nan,nan,nan,nan,directional,0.0,0.0,121618,0.5
10,0.02313736453652382,-26.84099954804296,146.77826868017252,-21.266858643001882,34.434423785235225,0.1750124712402623,0.0003097485085503732,0.00042218927581312284,0.0003236011880568391,0.0007298838344355857,1.239761424209111e-05,63,45,6.61887788772583,2.843817949295044,0.044953811913728714,0.0004582278779707849,directional,0.0,0.0,121618,0.5
50,0.06265734881162643,-25.203657300222435,100.67636715312625,-19.73707328241956,24.21108675868283,0.17559546011407143,0.00031048606749298403,0.00042488194369838463,0.0003238318409155744,0.0007320126013431426,3.4595022201421437e-05,63,45,1.399482250213623,0.4684867262840271,0.04494795203208923,0.00389099377207458,directional,0.0,0.0,121618,0.5
100,0.0953303724527359,-24.494876937068728,85.51641763840347,-18.68041035141634,18.982263201376124,0.17610562870273647,0.000311130209938704,0.00042724716366277106,0.00032405044696603167,0.0007339039828806683,5.196939268105418e-05,63,45,1.6957175731658936,0.574356198310852,0.048248302191495895,0.009009839966893196,directional,0.0,0.0,121618,0.5
200,0.16265490651130676,-22.810431458240362,58.02363756348566,-16.909599946473815,12.62603388081624,0.17718765464067598,0.0003134116429390003,0.0004317516681719421,0.00032586560454406357,0.000738292840111277,8.641146040577063e-05,63,45,31.135467529296875,16.082489013671875,0.04643411934375763,0.02611558325588703,directional,0.0,0.0,121618,0.5
500,0.3081570565700531,-20.061369263174,30.81049900603483,-14.486238218324132,7.226546101130897,0.17965194981331423,0.00032047750807334983,0.0004414183089389758,0.00033262525695625984,0.0007501227115533552,0.000154512632266216,63,45,2.690857172012329,0.7551096677780151,0.04661178216338158,0.09451889991760254,directional,0.0,0.0,121618,0.5
1000,0.3707866370677948,-19.17864208037287,25.14351633437676,-13.216075280651069,5.394043988399476,0.18087611641118065,0.0003242973795794886,0.0004456570744361263,0.000336620494037798,0.0007561475275897543,0.00018170815316528467,63,45,1.039706826210022,0.28617462515830994,0.046215660870075226,0.1373177170753479,directional,0.0,0.0,121618,0.5
