iteration,latent_norm,L_signal,L_DTI,L_z,PSNR,RelMSE,MSE,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_fro_error_vs_wls,mean_relative_delta_D,mean_delta_D_fro,lambda_DTI,lambda_z,tag,dti_ref_scale,L_DTI_scaled,weighted_DTI,weighted_z
1000.0,0.39723843336105347,0.5415201187133789,0.0007961744558997452,0.15778766572475433,-1.5937767889494614,2.8750654756673226,1.443370015009377,0.1802957116766259,0.00034205506264327145,0.0004691470782119812,0.0003564618537463995,0.0007941174179898543,0.5870890183649662,0.00019036077544826424,0.0,0.0,lambdaDTI=0.0,0.0007727638114817885,1.0302946955720744,0.0,0.0
1000.0,0.39723822474479675,0.5415202379226685,0.0007961743976920843,0.1577875018119812,-1.5937907902625545,2.8750747446676104,1.4433746683284743,0.1802957065151846,0.0003420550475570772,0.00046914703616970834,0.00035646184688702755,0.00079411737296607,0.5870878598702989,0.00019036063444848023,0.001,0.0,lambdaDTI=0.001,0.0007727638114817885,1.030294620248075,0.001030294620248075,0.0
1000.0,0.39723679423332214,0.5415229201316833,0.0007961740484461188,0.15778635442256927,-1.5939479738144287,2.8751788037006483,1.443426909117197,0.1802956551293018,0.0003420549025558857,0.00046914667528674827,0.00035646176155886147,0.000794116956096221,0.5870771472859847,0.00019035937586474078,0.01,0.0,lambdaDTI=0.01,0.0007727638114817885,1.0302941683040783,0.010302941683040783,0.0
1000.0,0.3972221314907074,0.5415531992912292,0.0007961698574945331,0.15777474641799927,-1.595542466201215,2.8762346062925084,1.4439569540207853,0.18029509281262918,0.0003420532227978907,0.00046914268162284777,0.0003564607285985969,0.0007941123102565488,0.5869620529943838,0.00019034516202072853,0.1,0.0,lambdaDTI=0.1,0.0007727638114817885,1.0302887449761176,0.10302887449761178,0.0
1000.0,0.39697036147117615,0.5424026250839233,0.0007961365045048296,0.15757514536380768,-1.6197046662230967,2.8922812844186696,1.4520128728316193,0.18028273396288955,0.00034201431625786936,0.0004691195161246883,0.0003564121771444652,0.0007940667541687486,0.5869732797337797,0.00019009832159416095,1.0,0.0,lambdaDTI=1.0,0.0007727638114817885,1.030245584324431,1.030245584324431,0.0
1000.0,0.41065534949302673,0.5152533054351807,0.0007978079374879599,0.16862913966178894,-0.531208245910619,2.251079771140359,1.1301102776812473,0.18085249660178682,0.00034331206107436233,0.0004701971438647243,0.0003579924400935076,0.0007957298436524536,0.6001590901971867,0.00019957018511601333,10.0,0.0,lambdaDTI=10.0,0.0007727638114817885,1.0324085129687282,10.324085129687282,0.0
1000,0.4039906859397888,0.5305496454238892,0.0007961285300552845,0.16320863366127014,-1.294220794365846,2.683441550614266,1.3471689963123024,0.18051205905038314,0.00034246335580219407,0.0004689853052500524,0.0003571612335823868,0.0007941533687239728,0.5699784208169157,0.00019294710795724024,50.0,0.0,lambdaDTI=50.0,0.0007727638114817885,1.0302352649365059,51.511763246825296,0.0
1000,0.3805961608886719,0.5743575692176819,0.0007934471359476447,0.14485366642475128,-3.206076975586752,4.167520629220171,2.0922216777526494,0.1797493727119622,0.0003410118700583319,0.00046636473603356486,0.0003558096128574397,0.0007911893020574988,0.5084924497579307,0.0001792801214398439,100.0,0.0,lambdaDTI=100.0,0.0007727638114817885,1.0267653895776971,102.67653895776971,0.0
1000,0.38358086347579956,0.5830374360084534,0.0007900017662905157,0.14718832075595856,-4.770148395633628,5.9742707446922,2.9992650001944687,0.17956332941087452,0.00034064764799889913,0.0004634093244529278,0.0003563638250911234,0.0007883880744020407,0.4261851718419573,0.00017533891851850218,500.0,0.0,lambdaDTI=500.0,0.0007727638114817885,1.0223068867260658,511.1534433630329,0.0
1000,0.38658204674720764,0.6400755643844604,0.0007870999979786575,0.14949287474155426,-7.404651834998214,10.958099617956567,5.50129815960907,0.17918777530115437,0.00033925819443034834,0.0004602521575292841,0.00035553371452925277,0.0007846619798249066,0.3492974073985779,0.00016271373646688044,1000.0,0.0,lambdaDTI=1000.0,0.0007727638114817885,1.0185518347053275,1018.5518347053275,0.0
1000,0.5685029029846191,4.619107246398926,0.0007575586205348372,0.3225077986717224,-15.768066497099761,75.17556665904196,37.74041311244043,0.17081468796674626,0.0003287813047229413,0.00042210612123807877,0.0003505221908750281,0.000752204909072519,0.8165207670353269,0.00013875565254796598,5000.0,0.0,lambdaDTI=5000.0,0.0007727638114817885,0.9803236244748638,4901.618122374319,0.0
1000,0.7316470742225647,4.6978983879089355,0.000752739782910794,0.5344929695129395,-15.926102854037435,77.96152865746883,39.139050481056046,0.1704221036915057,0.00032740610403813117,0.0004191259383198316,0.00034951075218938807,0.0007485165461589994,1.048451629749956,0.00015312668936433784,10000.0,0.0,lambdaDTI=10000.0,0.0007727638114817885,0.9740877765321359,9740.877765321358,0.0
