iteration,latent_norm,L_signal,L_DTI,L_z,PSNR,RelMSE,MSE,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_fro_error_vs_wls,mean_relative_delta_D,mean_delta_D_fro,lambda_DTI,lambda_z,tag,dti_ref_scale,L_DTI_scaled,weighted_DTI,weighted_z
1000.0,0.39723679423332214,0.5415229201316833,0.0007961740484461188,0.15778635442256927,-1.5939479738144287,2.8751788037006483,1.443426909117197,0.1802956551293018,0.0003420549025558857,0.00046914667528674827,0.00035646176155886147,0.000794116956096221,0.5870771472859847,0.00019035937586474078,0.01,0.0,lambdaDTI=0.01_lambdaz=0.0,0.0007727638114817885,1.0302941683040783,0.010302941683040783,0.0
1000.0,0.3972354829311371,0.5415236949920654,0.0007961740484461188,0.1577853262424469,-1.59397337862356,2.8751956226070376,1.443435352718003,0.1802956445805725,0.00034205487401664015,0.0004691466407267201,0.0003564617307478654,0.000794116908867403,0.587076434849473,0.00019035911843566026,0.01,0.001,lambdaDTI=0.01_lambdaz=0.001,0.0007727638114817885,1.0302941683040783,0.010302941683040783,0.0001577853262424469
1000.0,0.39722275733947754,0.541532039642334,0.0007961735245771706,0.15777523815631866,-1.5943180600287756,2.875423823939687,1.443549916704013,0.18029549998644395,0.00034205454675056984,0.0004691462639422054,0.00035646136137101474,0.0007941163951422471,0.5870678267407895,0.00019035620843428885,0.01,0.01,lambdaDTI=0.01_lambdaz=0.01,0.0007727638114817885,1.0302934903880832,0.010302934903880833,0.0015777523815631866
1000.0,0.39710286259651184,0.5416088700294495,0.0007961692754179239,0.15768030285835266,-1.5973581973265842,2.8774373755637948,1.4445607806521583,0.18029420044869165,0.0003420515942869019,0.0004691430145742384,0.0003564579703789751,0.0007941118633334064,0.5869944507633132,0.00019032995379706229,0.01,0.1,lambdaDTI=0.01_lambdaz=0.1,0.0007727638114817885,1.0302879917361232,0.010302879917361231,0.015768030285835268
1000.0,0.3972221314907074,0.5415531992912292,0.0007961698574945331,0.15777474641799927,-1.595542466201215,2.8762346062925084,1.4439569540207853,0.18029509281262918,0.0003420532227978907,0.00046914268162284777,0.0003564607285985969,0.0007941123102565488,0.5869620529943838,0.00019034516202072853,0.1,0.0,lambdaDTI=0.1_lambdaz=0.0,0.0007727638114817885,1.0302887449761176,0.10302887449761178,0.0
1000.0,0.397220641374588,0.5415545701980591,0.0007961698574945331,0.15777356922626495,-1.5955858581419284,2.8762633439417775,1.4439713811917865,0.1802950725097283,0.0003420531752683976,0.000469142628589763,0.000356460674025951,0.0007941122358051746,0.5869610398649798,0.00019034478610988124,0.1,0.001,lambdaDTI=0.1_lambdaz=0.001,0.0007727638114817885,1.0302887449761176,0.10302887449761178,0.00015777356922626497
1000.0,0.39720800518989563,0.5415629148483276,0.0007961693918332458,0.15776357054710388,-1.5959163897771962,2.876482258122068,1.4440812827458087,0.1802949269124962,0.00034205285318694636,0.0004691422571031189,0.00035646030827612507,0.000794111731875469,0.5869525817449753,0.0001903418821343992,0.1,0.01,lambdaDTI=0.1_lambdaz=0.01,0.0007727638114817885,1.030288142384122,0.1030288142384122,0.0015776357054710388
1000.0,0.3970913290977478,0.541635274887085,0.0007961653755046427,0.15767115354537964,-1.5987708479474303,2.8783734857440773,1.4450307363371333,0.180293704544855,0.000342050096000267,0.00046913931839105634,0.00035645710236040267,0.0007941075825246106,0.5868873847320535,0.00019031730664693404,0.1,0.1,lambdaDTI=0.1_lambdaz=0.1,0.0007727638114817885,1.0302829450281596,0.10302829450281599,0.015767115354537963
1000.0,0.39697036147117615,0.5424026250839233,0.0007961365045048296,0.15757514536380768,-1.6197046662230967,2.8922812844186696,1.4520128728316193,0.18028273396288955,0.00034201431625786936,0.0004691195161246883,0.0003564121771444652,0.0007940667541687486,0.5869732797337797,0.00019009832159416095,1.0,0.0,lambdaDTI=1.0_lambdaz=0.0,0.0007727638114817885,1.030245584324431,1.030245584324431,0.0
1000.0,0.39696887135505676,0.5424039363861084,0.0007961364462971687,0.15757396817207336,-1.619736530351819,2.8923025051260645,1.4520235262699532,0.18028271826203365,0.00034201427976279124,0.0004691194771042637,0.0003564121344626453,0.0007940666975265453,0.5869722490380151,0.000190097982916772,1.0,0.001,lambdaDTI=1.0_lambdaz=0.001,0.0007727638114817885,1.0302455090004314,1.0302455090004314,0.00015757396817207337
