name,PSNR,FA_MAE,MD_MAE,mean_D_fro_error_vs_wls,latent_norm,RelMSE,lambda_DTI,lambda_z
z0,-14.721499063347508,0.17340725400929372,0.00033228888092181474,0.0007727638114817885,0.0,59.07720864650867,,
phase5_signal,-2.597134608204725,0.17999496941880141,0.00034149258412955076,0.0007932474663061984,0.36324456334114075,3.6222925405770683,,
phase5_dti_oracle,-18.549147018249784,0.16399892760847987,0.00032809941634992295,0.0007445807077974063,1.1266764402389526,142.62142209295655,,
phase6_best_compromise,-0.531208245910619,0.18085249660178682,,0.0007957298436524536,0.41065534949302673,,10.0,0.0
lambdaDTI=0.0,-1.5937767889494614,0.1802957116766259,,0.0007941174179898543,0.39723843336105347,,0.0,0.0
lambdaDTI=0.001,-1.5937907902625545,0.1802957065151846,,0.00079411737296607,0.39723822474479675,,0.001,0.0
lambdaDTI=0.01,-1.5939479738144287,0.1802956551293018,,0.000794116956096221,0.39723679423332214,,0.01,0.0
lambdaDTI=0.1,-1.595542466201215,0.18029509281262918,,0.0007941123102565488,0.3972221314907074,,0.1,0.0
lambdaDTI=1.0,-1.6197046662230967,0.18028273396288955,,0.0007940667541687486,0.39697036147117615,,1.0,0.0
lambdaDTI=10.0,-0.531208245910619,0.18085249660178682,,0.0007957298436524536,0.41065534949302673,,10.0,0.0
lambdaDTI=50.0,-1.294220794365846,0.18051205905038314,,0.0007941533687239728,0.4039906859397888,,50.0,0.0
lambdaDTI=100.0,-3.206076975586752,0.1797493727119622,,0.0007911893020574988,0.3805961608886719,,100.0,0.0
lambdaDTI=500.0,-4.770148395633628,0.17956332941087452,,0.0007883880744020407,0.38358086347579956,,500.0,0.0
lambdaDTI=1000.0,-7.404651834998214,0.17918777530115437,,0.0007846619798249066,0.38658204674720764,,1000.0,0.0
lambdaDTI=5000.0,-15.768066497099761,0.17081468796674626,,0.000752204909072519,0.5685029029846191,,5000.0,0.0
lambdaDTI=10000.0,-15.926102854037435,0.1704221036915057,,0.0007485165461589994,0.7316470742225647,,10000.0,0.0
lambdaDTI=0.01_lambdaz=0.0,-1.5939479738144287,0.1802956551293018,,0.000794116956096221,0.39723679423332214,,0.01,0.0
lambdaDTI=0.01_lambdaz=0.001,-1.59397337862356,0.1802956445805725,,0.000794116908867403,0.3972354829311371,,0.01,0.001
lambdaDTI=0.01_lambdaz=0.01,-1.5943180600287756,0.18029549998644395,,0.0007941163951422471,0.39722275733947754,,0.01,0.01
lambdaDTI=0.01_lambdaz=0.1,-1.5973581973265842,0.18029420044869165,,0.0007941118633334064,0.39710286259651184,,0.01,0.1
lambdaDTI=0.1_lambdaz=0.0,-1.595542466201215,0.18029509281262918,,0.0007941123102565488,0.3972221314907074,,0.1,0.0
lambdaDTI=0.1_lambdaz=0.001,-1.5955858581419284,0.1802950725097283,,0.0007941122358051746,0.397220641374588,,0.1,0.001
lambdaDTI=0.1_lambdaz=0.01,-1.5959163897771962,0.1802949269124962,,0.000794111731875469,0.39720800518989563,,0.1,0.01
lambdaDTI=0.1_lambdaz=0.1,-1.5987708479474303,0.180293704544855,,0.0007941075825246106,0.3970913290977478,,0.1,0.1
lambdaDTI=1.0_lambdaz=0.0,-1.6197046662230967,0.18028273396288955,,0.0007940667541687486,0.39697036147117615,,1.0,0.0
lambdaDTI=1.0_lambdaz=0.001,-1.619736530351819,0.18028271826203365,,0.0007940666975265453,0.39696887135505676,,1.0,0.001
lambdaDTI=1.0_lambdaz=0.01,-1.6200805293754579,0.18028257290855526,,0.0007940662017443471,0.396956205368042,,1.0,0.01
lambdaDTI=1.0_lambdaz=0.1,-1.6153957619818085,0.18028826674557116,,0.0007940586257184048,0.3968861401081085,,1.0,0.1
lambdaDTI=1000.0_lambdaz=0.0,-7.404651834998214,0.17918777530115437,,0.0007846619798249066,0.38658204674720764,,1000.0,0.0
lambdaDTI=1000.0_lambdaz=0.01,-7.404932741810613,0.17918769050709302,,0.0007846618802631662,0.3865686058998108,,1000.0,0.01
lambdaDTI=1000.0_lambdaz=0.1,-7.404958724061035,0.17918742909924362,,0.0007846639566283788,0.3864211142063141,,1000.0,0.1
lambdaDTI=1000.0_lambdaz=1.0,-7.424886010527264,0.1791798060300295,,0.0007846610270899983,0.3848957419395447,,1000.0,1.0
lambdaDTI=5000.0_lambdaz=0.0,-15.768066497099761,0.17081468796674626,,0.000752204909072519,0.5685029029846191,,5000.0,0.0
lambdaDTI=5000.0_lambdaz=0.01,-15.76821954431975,0.17081470073959185,,0.0007522068349854444,0.5683706998825073,,5000.0,0.01
lambdaDTI=5000.0_lambdaz=0.1,-15.768256438144672,0.1708138163722075,,0.0007522076439548642,0.5681623816490173,,5000.0,0.1
lambdaDTI=5000.0_lambdaz=1.0,-15.758200928900816,0.1708619776149032,,0.0007523282558877877,0.56305330991745,,5000.0,1.0
lambdaDTI=10000.0_lambdaz=0.0,-15.926102854037435,0.1704221036915057,,0.0007485165461589994,0.7316470742225647,,10000.0,0.0
lambdaDTI=10000.0_lambdaz=0.01,-15.918974147407019,0.17043948535370596,,0.0007485319897764687,0.7311383485794067,,10000.0,0.01
lambdaDTI=10000.0_lambdaz=0.1,-15.925617683539265,0.1704227262591407,,0.0007485165267568341,0.7315025925636292,,10000.0,0.1
lambdaDTI=10000.0_lambdaz=1.0,-15.918977487061582,0.17043821068892037,,0.0007485384621555298,0.7287130355834961,,10000.0,1.0
