iteration,z_norm,PSNR_obs,RelMSE_obs,PSNR_holdout,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_abs_D_drift,mean_rel_D_drift,mean_lambda1,mean_lambda2,mean_lambda3,n_observed_vols,n_holdout_vols,subject,lambda_dis,lambda_z,sampling_ratio
50,0.03149177134037018,-24.19323311465545,347.9283436160162,-20.233250920533443,175.13905312761958,0.17472617439728172,0.00031283977912068,0.00044261799312419277,0.000326546203773269,1.3903301294499872e-05,0.011448732177330938,0.0009459010990616715,0.0007804904274651946,0.0007170105148738904,63,45,120717,0.0,0.0,0.5
100,0.05547541752457619,-24.17165622168795,346.20403099305065,-20.168537696316772,172.5486933909758,0.174994996684426,0.000313041547903635,0.0004430073665173443,0.00032681008507940546,2.5673849867295963e-05,0.021274914498562114,0.000945118472506529,0.0007804416249956182,0.0007170700976440526,63,45,120717,0.0,0.0,0.5
200,0.1894976794719696,-23.109619057658136,271.0993047644523,-18.061737951548743,106.22621336641454,0.17726673854544805,0.0003146626668310732,0.00045159836528537307,0.0003273319800384729,9.397664584699673e-05,0.1646129396557972,0.0009472768654243446,0.0007805645225714166,0.0007158777643350026,63,45,120717,0.0,0.0,0.5
500,0.362137109041214,-12.613982309730623,24.18603789740906,-6.346141743109207,7.156028798571243,0.18087230031206084,0.0003188846385744363,0.0004648003401462938,0.000330356361698009,0.0001782203026564663,0.5337619769291764,0.0009475769099119545,0.0007779348032234799,0.0007113514535714928,63,45,120717,0.0,0.0,0.5
1000,0.5563938617706299,-4.486171602896174,3.7220624736745007,2.2145918481761115,0.9967786345623117,0.1861684055993489,0.0003297502887756089,0.00048095895318615156,0.000341648172204119,0.0002720558851778043,1.2258057911640783,0.0009411673908068471,0.0007725327964767942,0.0007048649202931191,63,45,120717,0.0,0.0,0.5
0,0.0,-24.211114565195476,349.36384172029904,-20.2717170914211,176.69717839682042,0.17439340322873245,0.00031255708485506154,0.0004417832094499269,0.00032630802206275763,0.0,0.0,0.000946077168327529,0.0007803006750012899,0.0007168438831373253,63,45,120717,0.01,0.0,0.5
10,0.018791090697050095,-24.216058168493127,349.7617513597539,-20.253298608383066,175.9493902739216,0.17464651298332387,0.00031275625826338125,0.0004427138628840218,0.0003263663643239748,9.23051738888143e-06,0.007908039600929416,0.0009464800316196617,0.0007805298094921929,0.0007169480617509551,63,45,120717,0.01,0.0,0.5
50,0.03149159625172615,-24.193234159898832,347.9284273540919,-20.233254424027372,175.13919441397772,0.17472616844917557,0.00031283977381632285,0.0004426179524306561,0.0003265462081335543,1.3903207727082352e-05,0.011448615505720048,0.00094590105522321,0.0007804904144646905,0.0007170105118688276,63,45,120717,0.01,0.0,0.5
100,0.055475011467933655,-24.17165254967742,346.2037382736259,-20.16854206696191,172.54886704031244,0.17499497890434995,0.00031304153767804755,0.00044300725934938543,0.00032681009921356946,2.5673658098554892e-05,0.021274583191846948,0.0009451183681411672,0.0007804415994394955,0.000717070096687373,63,45,120717,0.01,0.0,0.5
200,0.18949492275714874,-23.110008761357108,271.12363229944305,-18.062188488751477,106.23723384803411,0.17726666416374878,0.0003146626143231701,0.0004515977648800531,0.00032733207561422013,9.397519572647296e-05,0.16460364471727543,0.0009472761330592458,0.0007805643795206127,0.0007158778103696829,63,45,120717,0.01,0.0,0.5
500,0.3621346950531006,-12.614270583494553,24.18764335911155,-6.346512863659286,7.156640333584873,0.18087191247439569,0.00031888407368283687,0.00046479506070957105,0.00033035737123335215,0.0001782171540819972,0.533604446636421,0.0009475686298249395,0.000777932878476001,0.0007113512172347781,63,45,120717,0.01,0.0,0.5
1000,0.5563921332359314,-4.489645629383373,3.7250410325247687,2.2135986911365677,0.9970066068163578,0.18616696467946325,0.0003297482126872676,0.0004809353133862409,0.0003416538268380522,0.00027205010209366363,1.2246060181365335,0.0009411296601963557,0.0007725229929556725,0.0007048630231971449,63,45,120717,0.01,0.0,0.5
0,0.0,-24.211114565195476,349.36384172029904,-20.2717170914211,176.69717839682042,0.17439340322873245,0.00031255708485506154,0.0004417832094499269,0.00032630802206275763,0.0,0.0,0.000946077168327529,0.0007803006750012899,0.0007168438831373253,63,45,120717,0.1,0.0,0.5
10,0.01879066601395607,-24.21606047624455,349.76193721599384,-20.25330683362249,175.94972351030665,0.17464650487420422,0.00031275625599857236,0.00044271380734196006,0.000326366376415668,9.230280950399457e-06,0.007907802377331958,0.0009464799816869526,0.0007805297990851543,0.0007169480649726032,63,45,120717,0.1,0.0,0.5
50,0.031490013003349304,-24.1932313584705,347.92820292198877,-20.23327405818523,175.13998620814186,0.17472611725961343,0.0003128397291501774,0.000442617596134206,0.00032654624529808023,1.3902342260971834e-05,0.011447517409022905,0.0009459006967567632,0.0007804903368420448,0.0007170105205350043,63,45,120717,0.1,0.0,0.5
100,0.05547161027789116,-24.171627236147458,346.2017203771229,-20.168581031054146,172.55041512356257,0.17499483984282288,0.00031304141572809953,0.000443006279894376,0.0003268102062220122,2.567204828501796e-05,0.021271669830070592,0.0009451173446613328,0.0007804413882706856,0.0007170701299159529,63,45,120717,0.1,0.0,0.5
200,0.18979376554489136,-23.084205669517374,269.51755924735903,-18.03225475900729,105.50751183180024,0.17727098536397945,0.0003146645906980311,0.00045162306973566284,0.00032732848268309894,9.41002352589754e-05,0.16512283089321933,0.0009472947831242663,0.0007805654098403963,0.0007158715965581,63,45,120717,0.1,0.0,0.5
500,0.36241835355758667,-12.61033286277815,24.165722514454515,-6.339471303289131,7.145046107707527,0.1808745099790344,0.0003188880363599498,0.00046477789445090065,0.0003303706491027399,0.00017831015292065058,0.5332402529345022,0.0009475093187939732,0.0007779144160693825,0.0007113412364895222,63,45,120717,0.1,0.0,0.5
1000,0.5567853450775146,-4.494919434270308,3.7295672407024703,2.2153182681859533,0.9966119229362885,0.18616742443263765,0.0003297620883223018,0.00048072912113068214,0.0003417539591151882,0.0002722243975295119,1.213824848344722,0.0009407046428317619,0.0007724007623965779,0.0007048237709284731,63,45,120717,0.1,0.0,0.5
0,0.0,-28.06488409583863,194.55850276164765,-22.296576862951593,43.648029486668385,0.1747288505215207,0.0003093042149979242,0.0004208497547848601,0.0003233813504104159,0.0,0.0,0.0009244154929245337,0.0007805494383078752,0.0007191751748216606,63,45,121618,0.0,0.0,0.5
10,0.02154931239783764,-27.011250145827134,152.6464893011486,-21.389272433006393,35.41882903069067,0.1749775205360677,0.0003097216313082183,0.00042194665483154205,0.0003236360127911077,1.102163809318077e-05,0.010627309079713973,0.0009238628089290081,0.0007800454120655499,0.0007186283577572291,63,45,121618,0.0,0.0,0.5
50,0.06622643023729324,-25.079378212787432,97.83621148583536,-19.547603258621656,23.17753692274527,0.17565900983923036,0.00031072084262000595,0.0004248011852688175,0.0003241982566810216,3.687679589597514e-05,0.03980659988151456,0.000922692760481806,0.0007788198679118648,0.0007172468298867591,63,45,121618,0.0,0.0,0.5
100,0.10740555822849274,-24.091575626447103,77.93263643475501,-18.02156110036439,16.31034193325911,0.17636677797178943,0.00031178218547297046,0.00042796670477189227,0.000324753106341194,6.058460752771922e-05,0.08195621117243514,0.0009222686188934388,0.0007778173512624038,0.0007159407726910767,63,45,121618,0.0,0.0,0.5
200,0.16102224588394165,-22.751459186226896,57.241067512417075,-16.867137103464852,12.503185257242883,0.1772787672573243,0.0003132146398837748,0.00043217027760056006,0.000325489451344745,8.805405895529885e-05,0.1542172372964079,0.0009220052371844375,0.0007766155578111411,0.0007142206735340796,63,45,121618,0.0,0.0,0.5
500,0.24256299436092377,-20.864061052241777,37.06533341535096,-15.630349003798242,9.404633076020023,0.1789030917898726,0.00031637144881076733,0.0004387272512121667,0.0003279952995396926,0.00012819479294016504,0.29036887871570594,0.0009192052098044522,0.0007736179427218387,0.0007107990742967424,63,45,121618,0.0,0.0,0.5
1000,0.38905003666877747,-17.969307415008203,19.03235577215669,-11.797782130949734,3.8912144752750684,0.18242675401369657,0.0003266251955587424,0.0004521723128122682,0.0003381306244454894,0.00020399890681949072,0.5502452175746422,0.0009063386634109398,0.0007640475265950599,0.0007015992078708548,63,45,121618,0.0,0.0,0.5
0,0.0,-28.06488409583863,194.55850276164765,-22.296576862951593,43.648029486668385,0.1747288505215207,0.0003093042149979242,0.0004208497547848601,0.0003233813504104159,0.0,0.0,0.0009244154929245337,0.0007805494383078752,0.0007191751748216606,63,45,121618,0.01,0.0,0.5
10,0.02154930680990219,-27.01125033250099,152.64649586239,-21.38926991746727,35.41880851525053,0.17497752050732374,0.00030972163135868587,0.000421946653994096,0.00032363601311530157,1.1021631266149105e-05,0.010627301380303208,0.0009238628096788996,0.0007800454128790603,0.0007186283586948732,63,45,121618,0.01,0.0,0.5
50,0.06622631847858429,-25.07937842733311,97.83621631903907,-19.547601342449813,23.177526696473514,0.17565900646000449,0.00031072083949774644,0.0004248011635509835,0.0003241982582848976,3.687671826344245e-05,0.03980643445258117,0.0009226927338810602,0.0007788198585522784,0.0007172468259029333,63,45,121618,0.01,0.0,0.5
100,0.1074051782488823,-24.091577869803462,77.93267669101606,-18.02156636108103,16.310361690392288,0.17636677036795162,0.00031178218983917783,0.00042796665279426044,0.00032475312770818355,6.058440607951757e-05,0.08195544823856117,0.0009222685298120259,0.000777817320800874,0.0007159407628065006,63,45,121618,0.01,0.0,0.5
200,0.16102126240730286,-22.751447316882206,57.24091107178508,-16.867139374338546,12.503191795010016,0.17727874985266154,0.00031321467132753835,0.00043217015145141917,0.0003254895377344198,8.805375354555508e-05,0.15421446598826502,0.000922004841464921,0.0007766154015024554,0.0007142205922616403,63,45,121618,0.01,0.0,0.5
500,0.24255768954753876,-20.864051152873145,37.06524892821237,-15.630336022392616,9.404604964869787,0.17890300531191705,0.00031637177245883114,0.0004387264140260703,0.0003279959441602771,0.00012819331519879921,0.2903442066098087,0.0009192024238397656,0.0007736168551036589,0.0007107985281814451,63,45,121618,0.01,0.0,0.5
1000,0.3889787197113037,-17.969961829243243,19.03522386822986,-11.800098710036561,3.8932906496334265,0.1824259694434466,0.00032662959434987183,0.0004521634863658885,0.00033813898419343913,0.00020399411515629293,0.5499829879033078,0.000906308252940819,0.0007640355551809604,0.0007015929187223478,63,45,121618,0.01,0.0,0.5
0,0.0,-28.06488409583863,194.55850276164765,-22.296576862951593,43.648029486668385,0.1747288505215207,0.0003093042149979242,0.0004208497547848601,0.0003233813504104159,0.0,0.0,0.0009244154929245337,0.0007805494383078752,0.0007191751748216606,63,45,121618,0.1,0.0,0.5
10,0.021549250930547714,-27.011253964216273,152.6466235105336,-21.389274653361248,35.418847138769955,0.17497751967901662,0.0003097216310330189,0.00042194664816820024,0.00032363601468067457,1.1021597055944063e-05,0.0106272676474641,0.0009238627982076804,0.000780045408151952,0.0007186283561855726,63,45,121618,0.1,0.0,0.5
