subject,lambda_dis,lambda_z,sampling_ratio,z_norm,PSNR_obs,PSNR_holdout,RelMSE_obs,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_abs_D_drift,mean_rel_D_drift,PSNR_obs_z0,PSNR_holdout_z0,FA_MAE_z0,MD_MAE_z0,mean_rel_D_drift_z0,signal_improvement,dti_stable,dti_improved,overfit_obs_hold,drift_suppressed,over_regularized,local_status,delta_PSNR_holdout,delta_FA_MAE,delta_rel_D_drift
106319,0.0,0.0,0.5,0.3446570634841919,-5.598309149673094,1.2451844096637696,6.379691879649612,1.8381166163409368,0.1795090219363382,0.0003402087340750815,0.00046762082194378964,0.0003541590206143344,0.00017192520470759996,0.5439163541726234,-16.252616823616705,-10.830517741174376,0.17340725400929372,0.00033228888092181474,0.0,True,False,False,False,False,False,MISMATCH,12.075702150838145,0.006101767927044477,0.5439163541726234
106319,0.01,0.0,0.5,0.34466230869293213,-5.59832518666707,1.244369685793158,6.379715437689929,1.8384614740410037,0.17950871494103687,0.00034021130164978223,0.00046761556900281324,0.00035416418491560276,0.00017192985379343385,0.5436600965892827,-16.252616823616705,-10.830517741174376,0.17340725400929372,0.00033228888092181474,0.0,True,False,False,False,False,False,MISMATCH,12.074887426967534,0.006101460931743158,0.5436600965892827
106319,0.1,0.0,0.5,0.34461861848831177,-5.606341091457239,1.2354983298295643,6.391501545341926,1.8422207470894936,0.1795045097819642,0.0003402232484546223,0.00046757297677959826,0.000354193457036505,0.00017191357502541454,0.541756089494824,-16.252616823616705,-10.830517741174376,0.17340725400929372,0.00033228888092181474,0.0,True,False,False,False,False,False,MISMATCH,12.06601607100394,0.006097255772670479,0.541756089494824
120717,0.0,0.0,0.5,0.5563938617706299,-4.486171602896174,2.2145918481761115,3.7220624736745007,0.9967786345623117,0.1861684055993489,0.0003297502887756089,0.00048095895318615156,0.000341648172204119,0.0002720558851778043,1.2258057911640783,-24.211114565195476,-20.2717170914211,0.17439340322873245,0.00031255708485506154,0.0,True,False,False,False,False,False,MISMATCH,22.48630893959721,0.01177500237061646,1.2258057911640783
120717,0.01,0.0,0.5,0.5563921332359314,-4.489645629383373,2.2135986911365677,3.7250410325247687,0.9970066068163578,0.18616696467946325,0.0003297482126872676,0.0004809353133862409,0.0003416538268380522,0.00027205010209366363,1.2246060181365335,-24.211114565195476,-20.2717170914211,0.17439340322873245,0.00031255708485506154,0.0,True,False,False,False,False,False,MISMATCH,22.485315782557667,0.011773561450730802,1.2246060181365335
120717,0.1,0.0,0.5,0.5567853450775146,-4.494919434270308,2.2153182681859533,3.7295672407024703,0.9966119229362885,0.18616742443263765,0.0003297620883223018,0.00048072912113068214,0.0003417539591151882,0.0002722243975295119,1.213824848344722,-24.211114565195476,-20.2717170914211,0.17439340322873245,0.00031255708485506154,0.0,True,False,False,False,False,False,MISMATCH,22.487035359607052,0.011774021203905194,1.213824848344722
121618,0.0,0.0,0.5,0.38905003666877747,-17.969307415008203,-11.797782130949734,19.03235577215669,3.8912144752750684,0.18242675401369657,0.0003266251955587424,0.0004521723128122682,0.0003381306244454894,0.00020399890681949072,0.5502452175746422,-28.06488409583863,-22.296576862951593,0.1747288505215207,0.0003093042149979242,0.0,True,False,False,False,False,False,MISMATCH,10.498794732001858,0.0076979034921758616,0.5502452175746422
121618,0.01,0.0,0.5,0.3889787197113037,-17.969961829243243,-11.800098710036561,19.03522386822986,3.8932906496334265,0.1824259694434466,0.00032662959434987183,0.0004521634863658885,0.00033813898419343913,0.00020399411515629293,0.5499829879033078,-28.06488409583863,-22.296576862951593,0.1747288505215207,0.0003093042149979242,0.0,True,False,False,False,False,False,MISMATCH,10.496478152915032,0.0076971189219258995,0.5499829879033078
121618,0.1,0.0,0.5,0.3836243450641632,-18.09297143402643,-11.984952150705869,19.582085807218718,4.0625822884946645,0.18224481832592335,0.0003257826433966378,0.00045164932717279036,0.00033714983419164926,0.00019981818923887193,0.5414264512502424,-28.06488409583863,-22.296576862951593,0.1747288505215207,0.0003093042149979242,0.0,True,False,False,False,False,False,MISMATCH,10.311624712245724,0.00751596780440264,0.5414264512502424
116726,0.0,0.0,0.5,0.5768490433692932,-26.681936574681067,-23.30050114659201,412.4114330543906,169.80813887006406,0.15284681772668932,0.00037372137057451366,0.0004554491740591562,0.00038941499303893383,0.00015316046314576943,15.49218957361138,-27.558568981992554,-23.318394741191945,0.1566807853915402,0.0003758220527910952,0.0,True,True,True,False,False,False,STRONG_LOCAL,0.017893594599936335,-0.0038339676648508902,15.49218957361138
116726,0.01,0.0,0.5,0.5761626958847046,-26.68149002864734,-23.298649221335314,412.3690306684756,169.7357444568303,0.15285520728342755,0.00037370899321113676,0.0004554643345254475,0.0003893958660424686,0.00015292989160849133,15.46116330470586,-27.558568981992554,-23.318394741191945,0.1566807853915402,0.0003758220527910952,0.0,True,True,True,False,False,False,STRONG_LOCAL,0.019745519856630978,-0.003825578108112654,15.46116330470586
116726,0.1,0.0,0.5,0.5794933438301086,-26.679067821321965,-23.30043406554997,412.1391026275094,169.80551603707747,0.1528537935475536,0.00037372813229773547,0.00045546067626693815,0.0003894275461441406,0.00015329559900733285,15.48370292053057,-27.558568981992554,-23.318394741191945,0.1566807853915402,0.0003758220527910952,0.0,True,True,True,False,False,False,STRONG_LOCAL,0.017960675641973012,-0.0038269918439866046,15.48370292053057
