tag,signal_relmse,psnr,ssim,fa_mae,md_mae,ad_mae,rd_mae,latent_source
z=0,59.07720864650867,-14.721499063347508,0.9430315380197862,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,z=0
z_101309,0.918757587189714,3.3606912215042417,0.9806168128624921,0.19313639056670862,0.00035378021862550024,0.0005173966293238653,0.0003614973036879164,z_101309
z_102715,84.17855628152111,-16.25931412331714,0.9093064792931189,0.16813006197136143,0.00033004614467189156,0.0004288096476201628,0.0003489328249095444,z_102715
z_103515,24.54920742641196,-10.907674147414,0.9831077214926384,0.18216048112090438,0.00037236414983563893,0.0004663695881783325,0.0003919073824998118,z_103515
z_new_adapted,38.30811651367358,-12.840207389477419,0.9618492612925101,0.17600725507768133,0.0003354222164589808,0.0004541822059940149,0.0003507902469993511,z_new_adapted
