tag,signal_relmse,psnr,ssim,fa_mae,md_mae,ad_mae,rd_mae,alpha
alpha=0.0,59.07720864650867,-14.721499063347508,0.9430315380197862,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0
alpha=0.25,52.17367153082807,-14.18181338975846,0.9476596293710243,0.1740383059865189,0.00033287364609498103,0.00044710643023890425,0.0003487867968567158,0.25
alpha=0.5,45.92936767456725,-13.628204056736342,0.9523909133622497,0.1746519833220696,0.0003336054206426989,0.0004493133778953127,0.00034931058661714925,0.5
alpha=0.75,41.37638588960424,-13.174824928868336,0.95714005691744,0.17529838687349023,0.00033444832560117525,0.00045169826953177016,0.00034997076615211854,0.75
alpha=1.0,38.30811651367358,-12.840207389477419,0.9618492612925101,0.17600725507768133,0.0003354222164589808,0.0004541822059940149,0.0003507902469993511,1.0
alpha=1.25,29.995561051127282,-11.777869288947063,0.9663801151221495,0.17672513233647144,0.00033655620451651945,0.000456768396024037,0.00035176235214260656,1.25
alpha=1.5,24.37872439917337,-10.877409169981817,0.9704253583335313,0.17743854383202978,0.0003378441254274727,0.00045938750926019956,0.0003528759931841249,1.5
