iteration,latent_norm,PSNR,RelMSE,MSE,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_delta_D_fro,mean_relative_delta_D,mean_D_fro_error_vs_wls,tag,lambda_DTI,lambda_z,scale_dti,L_signal,L_DTI,L_z,L_total
1000,0.4061644375324249,-0.6187294869548478,2.2969048744125864,1.1531158685304395,0.1808223393581627,0.0003433037751695793,0.00047031299548560423,0.00035792194828089834,0.00019905320483621996,0.6020768398045189,0.0007958661297222377,6B_ldti0.01_lz0,0.01,0.0,2493.288522031229,0.26035231351852417,0.0007970068836584687,0.16495829820632935,0.2802239954471588
1000,0.40616297721862793,-0.6187816823176286,2.296932479760714,1.1531297272519463,0.1808223120173257,0.0003433037170822112,0.00047031294258424874,0.00035792187822955996,0.0001990527276115153,0.602075702240292,0.0007958660484611569,6B_ldti0.01_lz0.001,0.01,0.001,2493.288522031229,0.2603532075881958,0.0007970067672431469,0.16495713591575623,0.28038984537124634
1000,0.4061504304409027,-0.6191961803067978,2.2971517133381614,1.1532397891530226,0.18082211895921427,0.0003433032590086904,0.0004703125304612899,0.0003579213357886438,0.00019904909351627046,0.602066183655746,0.0007958653999729367,6B_ldti0.01_lz0.01,0.01,0.01,2493.288522031229,0.2603595554828644,0.0007970065344125032,0.16494697332382202,0.2818807065486908
1000,0.4060022830963135,-0.6244774552945138,2.2999468834191625,1.1546430492581972,0.18081959619850257,0.0003432973448364365,0.0004703067752054649,0.0003579144611709595,0.00019900213749802313,0.6019294517652731,0.0007958566917257455,6B_ldti0.01_lz0.1,0.01,0.1,2493.288522031229,0.2604416012763977,0.0007970025180839002,0.16482692956924438,0.2967958450317383
1000,0.4061145484447479,-0.6223767481764947,2.298834655043457,1.1540846769007942,0.1808207299581513,0.0003432994928130372,0.00047030657170610225,0.00035791794861478473,0.0001990211787154285,0.6019064194923779,0.0007958576696622064,6B_ldti0.1_lz0,0.1,0.0,2493.288522031229,0.2604072093963623,0.0007970021688379347,0.16491784155368805,0.45912283658981323
1000,0.40611305832862854,-0.6224264149171183,2.2988609451028927,1.15409787530751,0.18082070521435697,0.0003432994325353607,0.0004703065156584155,0.0003579178783748115,0.00019902072282547737,0.601905174136152,0.0007958575817982686,6B_ldti0.1_lz0.001,0.1,0.001,2493.288522031229,0.26040807366371155,0.0007970021688379347,0.16491663455963135,0.45928865671157837
1000,0.40609505772590637,-0.623061385218554,2.2991970799614565,1.1542666251951061,0.1808204056698787,0.00034329875855540427,0.00047030567659402936,0.0003579171542627044,0.0001990151648160005,0.6018832799182098,0.000795856435347416,6B_ldti0.1_lz0.01,0.1,0.01,2493.288522031229,0.260417103767395,0.0007970016449689865,0.16490203142166138,0.46078163385391235
1000,0.4059554636478424,-0.6278748762056148,2.301746801470818,1.155546662677516,0.18081807363737484,0.00034329327439370757,0.0004703005538499872,0.0003579106993193727,0.00019897174044253995,0.6017641163258607,0.0007958485415005195,6B_ldti0.1_lz0.1,0.1,0.1,2493.288522031229,0.26049351692199707,0.000796997919678688,0.16478896141052246,0.4756869971752167
1000,0.40549761056900024,-0.6623802645363732,2.320107388740436,1.1647642340153577,0.18080369969037416,0.0003432572961067878,0.00047022554994462473,0.0003578839616619155,0.00019868231550183846,0.5996406701106782,0.0007957593769018761,6B_ldti1_lz0,1.0,0.0,2493.288522031229,0.2609426975250244,0.0007969491416588426,0.16441752016544342,2.247966766357422
1000,0.40549615025520325,-0.6624363459244607,2.3201373489836343,1.1647792749655694,0.18080367557204857,0.00034325723170474195,0.0004702254930907867,0.0003578838866082611,0.00019868183207214434,0.5996394469025613,0.0007957592855537363,6B_ldti1_lz0.001,1.0,0.001,2493.288522031229,0.26094362139701843,0.0007969491416588426,0.1644163280725479,2.2481322288513184
1000,0.40548351407051086,-0.6628406332410801,2.320353342002896,1.164887710008212,0.1808034791162067,0.00034325677438695875,0.00047022506276080903,0.0003578833459399697,0.00019867815037474904,0.5996293231561268,0.0007957586248914926,6B_ldti1_lz0.01,1.0,0.01,2493.288522031229,0.26095008850097656,0.0007969487924128771,0.16440610587596893,2.249617576599121
1000,0.4053610563278198,-0.6668091186305194,2.3224745977786894,1.1659526447051287,0.18080158365436122,0.00034325234655131526,0.0004702209871346483,0.000357878081774623,0.00019864264826278632,0.5995354113624152,0.0007957522952868637,6B_ldti1_lz0.1,1.0,0.1,2493.288522031229,0.2610121965408325,0.0007969458820298314,0.16430708765983582,2.2644588947296143
