iteration,latent_norm,PSNR,RelMSE,MSE,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_delta_D_fro,mean_relative_delta_D,mean_D_fro_error_vs_wls,tag,lambda_DTI,lambda_z,scale_dti,L_signal,L_DTI,L_z,L_total
0,0.0,-14.721499063347508,59.07720864650867,29.658549432176496,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0,0.0,0.0007727638114817885,6B_ldti0.01_lz0.001,0.01,0.001,2493.288522031229,1.9373054504394531,0.0007770081283524632,0.0,1.9566785049189148
10,0.02323237806558609,-14.438910427746865,55.35554149881159,27.79015971643111,0.1737095317208934,0.0003325378625630341,0.0004456857642747778,0.00034867507021916594,1.1901308984146415e-05,0.010581360836805425,0.0007731036440763069,6B_ldti0.01_lz0.001,0.01,0.001,2493.288522031229,3.2562968730926514,0.0007834249408915639,0.0004400715697556734,3.2758305072784424
50,0.061213020235300064,-13.978999111195836,49.79319247498893,24.997691905888868,0.17436803327445052,0.0003330814366685191,0.0004482408722910052,0.00034883415544350796,3.4178099239333145e-05,0.03806210893537915,0.0007749059394047676,6B_ldti0.01_lz0.001,0.01,0.001,2493.288522031229,4.234695911407471,0.0007733555976301432,0.003691299119964242,4.253981590270996
100,0.08228804171085358,-13.589507918255793,45.52194948616236,22.85339845968123,0.17464253763256093,0.00033354712079872704,0.00044873073080220336,0.000349444389908226,4.5653644526868154e-05,0.05282436629390088,0.0007753198519958834,6B_ldti0.01_lz0.001,0.01,0.001,2493.288522031229,2.1933908462524414,0.0007760509615764022,0.006745818071067333,2.2127466201782227
200,0.1941625475883484,-12.150788372419836,32.68503075453654,16.40887615604905,0.1765172223249275,0.00033583827663746156,0.00045578775229180706,0.0003510879992316429,0.00010269505446983755,0.21580303028668824,0.0007810036772648772,6B_ldti0.01_lz0.001,0.01,0.001,2493.288522031229,0.5804585218429565,0.000772663566749543,0.037624292075634,0.599760890007019
500,0.3170947730541229,-6.738352436501071,9.399511950029172,4.71883990789651,0.17874650496195457,0.00033946666253805146,0.0004635546399979043,0.0003542244905434809,0.0001593582615737736,0.4330087891083475,0.000788340995606195,6B_ldti0.01_lz0.001,0.01,0.001,2493.288522031229,0.29432442784309387,0.0007842574268579483,0.0999869853258133,0.3139782249927521
1000,0.40616297721862793,-0.6187816823176286,2.296932479760714,1.1531297272519463,0.1808223120173257,0.0003433037170822112,0.00047031294258424874,0.00035792187822955996,0.0001990527276115153,0.602075702240292,0.0007958660484611569,6B_ldti0.01_lz0.001,0.01,0.001,2493.288522031229,0.2603532075881958,0.0007970067672431469,0.16495713591575623,0.28038984537124634
0,0.0,-14.721499063347508,59.07720864650867,29.658549432176496,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0,0.0,0.0007727638114817885,6B_ldti0.01_lz0.01,0.01,0.01,2493.288522031229,1.9373054504394531,0.0007770081283524632,0.0,1.9566785049189148
10,0.023231519386172295,-14.43891664656931,55.3556207645045,27.790199510211576,0.17370952966346548,0.00033253786085120086,0.0004456857478159181,0.0003486750734716239,1.1901150711634003e-05,0.010581200421508709,0.0007731036340973676,6B_ldti0.01_lz0.01,0.01,0.01,2493.288522031229,3.2562973499298096,0.0007834249408915639,0.0004400413599796593,3.275834798812866
50,0.061211924999952316,-13.979009018705462,49.79330606775076,24.99774893289843,0.1743680273432063,0.00033308142907377043,0.00044824085060575356,0.0003488341515080171,3.417775501297132e-05,0.03806160510923965,0.0007749059232015255,6B_ldti0.01_lz0.01,0.01,0.01,2493.288522031229,4.234699249267578,0.0007733555976301432,0.0036911657080054283,4.2540178298950195
