iteration,latent_norm,PSNR,RelMSE,MSE,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_delta_D_fro,mean_relative_delta_D,mean_D_fro_error_vs_wls,tag,lambda_DTI,lambda_z,scale_dti,L_signal,L_DTI,L_z,L_total
0,0.0,-14.721499063347508,59.07720864650867,29.658549432176496,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0,0.0,0.0007727638114817885,6A_ldti0,0.0,0.0,2493.288522031229,1.9373054504394531,0.0007770081283524632,0.0,1.9373054504394531
10,0.01419045403599739,-14.676258282499848,58.464991241056175,29.35119773769313,0.1734078559238528,0.00033247449862410617,0.0004451427964036297,0.00034860042731191937,3.107474119009038e-06,0.0025141244621526538,0.0007730376736625842,6A_ldti0,0.0,0.0,2493.288522031229,1.7048486471176147,0.0,0.00017228018259629607,1.7048486471176147
50,0.04624344781041145,-14.229857967336159,52.754056172044244,26.484135228668332,0.17380912465192752,0.0003330745407541476,0.0004461901637593536,0.00034923042447204845,2.0275529278663552e-05,0.017830376812490122,0.000773932279385089,6A_ldti0,0.0,0.0,2493.288522031229,217.54054260253906,0.0,0.0020558214746415615,217.54054260253906
100,0.07001343369483948,-13.907035497340786,48.97490592482759,24.5868872545916,0.17432238056646276,0.0003335609502942853,0.00044835291019683365,0.00034937752246715466,3.566351872398951e-05,0.03867485638931897,0.0007755696323409723,6A_ldti0,0.0,0.0,2493.288522031229,2.2366061210632324,0.0,0.004868774674832821,2.2366061210632324
200,0.1594811975955963,-12.843774785423259,38.339596619581975,19.247639616073478,0.17599732947896968,0.000335430555338676,0.00045418793850428855,0.000350791205789973,8.696150462361328e-05,0.1627525736190958,0.0007800854145395158,6A_ldti0,0.0,0.0,2493.288522031229,4.558994293212891,0.0,0.025043494999408722,4.558994293212891
500,0.29445287585258484,-7.365128169028462,10.85882608712823,5.45145983804929,0.17856464675149675,0.00033864205936059316,0.0004640607231998361,0.0003528649026659014,0.0001509298460904837,0.440163417459579,0.000788397041558157,6A_ldti0,0.0,0.0,2493.288522031229,1.140906810760498,0.0,0.08660881966352463,1.140906810760498
1000,0.3611578941345215,-2.78277014649229,3.7804811360841972,1.8979161206288675,0.17992108815809194,0.00034134432985671257,0.0004681704277434457,0.0003556564726068615,0.00017965592512866793,0.5403289771054735,0.0007930654289342982,6A_ldti0,0.0,0.0,2493.288522031229,1.8736261129379272,0.0,0.13036561012268066,1.8736261129379272
0,0.0,-14.721499063347508,59.07720864650867,29.658549432176496,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0,0.0,0.0007727638114817885,6A_ldti0.001,0.001,0.0,2493.288522031229,1.9373054504394531,0.0007770081283524632,0.0,1.9392427558873992
10,0.023233186453580856,-14.43887617941181,55.35510496836137,27.789940564913405,0.17370957147342037,0.0003325378975966956,0.00044568605640448795,0.00034867503414038416,1.1901894059417478e-05,0.010582299317387868,0.0007731039000751944,6A_ldti0.001,0.001,0.0,2493.288522031229,3.256289482116699,0.0007834252901375294,0.0004401039914228022,3.2582428455352783
50,0.061215776950120926,-13.978950923557722,49.79263999202449,24.997414542694386,0.1743680747690026,0.00033308149706874277,0.00044824126347985067,0.00034883411061639166,3.417953631542291e-05,0.03806580639542721,0.0007749063034054161,6A_ldti0.001,0.001,0.0,2493.288522031229,4.234666347503662,0.0007733561214990914,0.0036916369572281837,4.2365946769714355
