epoch,train_signal_loss,val_signal_loss,train_mse,val_mse,wall_time_sec
1,1.4175574627516092,2.3714306354522705,1.4175574627516092,2.3714306354522705,3.2697269916534424
2,1.4129504125736545,798.0406494140625,1.4129504125736545,798.0406494140625,6.339672327041626
3,0.7047740020037446,835.7611694335938,0.7047740020037446,835.7611694335938,9.337443113327026
4,1.0742492010163163,5.729440212249756,1.0742492010163163,5.729440212249756,12.31059193611145
5,0.6093693949693763,54.987464904785156,0.6093693949693763,54.987464904785156,15.2545804977417
6,0.6908696577160872,3.102930784225464,0.6908696577160872,3.102930784225464,18.202758312225342
7,1.058558114055794,225.7707977294922,1.058558114055794,225.7707977294922,21.183772087097168
8,1.7443303742278424,373.5613098144531,1.7443303742278424,373.5613098144531,24.156488180160522
9,1.58979331755587,190.8931427001953,1.58979331755587,190.8931427001953,27.144772052764893
10,0.3185024845754105,2.1975834369659424,0.3185024845754105,2.1975834369659424,30.115289211273193
