iteration,latent_norm,observed_PSNR,observed_RelMSE,observed_MSE,holdout_PSNR,holdout_RelMSE,holdout_MSE,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_fro_error_vs_wls,mean_delta_D_fro_vs_z0,n_observed_vols,n_holdout_vols,n_total_vols,subject_id,sampling_fraction
100,0.09695407003164291,-22.548645581178548,172.01751682331243,179.83099950972763,-15.760934898869028,35.27289541418598,37.678490014444314,0.17480407245067095,0.00033397536129666357,0.0004502330968097582,0.00034955258063682756,0.0007768397849895161,5.2568189429286576e-05,32,22,54,106319,0.5
200,0.16494323313236237,-22.113777105797713,155.62731564290806,162.69631279369324,-13.455860587972213,20.745966848944946,22.160831867621273,0.17607483278749445,0.0003353052066729532,0.00045498078681976436,0.00035041021886216824,0.0007805137605828063,8.978483832869602e-05,32,22,54,106319,0.5
500,0.35142219066619873,-11.828111449599298,14.5720032997827,15.23390156219156,-5.297043954565581,3.169947110622268,3.386135987743781,0.17962232764192707,0.0003402265837777957,0.00046859954791031693,0.0003539034373252855,0.0007926285557375863,0.00017624362520906342,32,22,54,106319,0.5
1000,0.4775139093399048,-2.807131939546175,1.825665925545297,1.9085924167762944,2.3643758405464386,0.5431378098773417,0.5801795487903202,0.18276359650334756,0.00034622126778399617,0.0004798708972429315,0.00035930391295711816,0.0008056190485287386,0.0002309543514110454,32,22,54,106319,0.5
0,0.0,-16.23253897467013,72.21665524474086,42.000445545446965,-10.927169567995916,31.69070531864018,12.379894873597848,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,63,45,108,106319,1.0
10,0.010286216624081135,-16.226952783502387,72.12382498345185,41.94645644388826,-10.93066189257485,31.71619925059142,12.38985401443418,0.17335844984915763,0.0003323647938098991,0.000444896325850013,0.0003485210729535981,0.0007727621857308747,2.331175227680248e-06,63,45,108,106319,1.0
50,0.03931936249136925,-15.886295782802653,66.68268074050378,38.78194430044465,-10.497636358501355,28.706390220924494,11.21407963509383,0.1736423882707844,0.00033289061038707803,0.0004455290865767626,0.00034913757677405805,0.0007733795694247186,1.6795666357001578e-05,63,45,108,106319,1.0
100,0.06483277678489685,-15.589811830183162,62.282301924683544,36.2227303600198,-9.931666341856852,25.19889996600849,9.843887328250837,0.17416807402854298,0.000333400540402868,0.000447771341870101,0.0003492851250873845,0.00077509496068444,3.142670542597288e-05,63,45,108,106319,1.0
200,0.15116451680660248,-14.793458611211651,51.84768066803554,30.15406461536633,-7.073342981460074,13.048159187128656,5.097230793901246,0.17582405981017854,0.00033522065981668204,0.00045363367841286505,0.00035060445683707546,0.0007795827913973789,8.315093185671605e-05,63,45,108,106319,1.0
500,0.284919410943985,-9.818671009528789,16.491136006993003,9.591070889352912,-1.5842128864041696,3.686686740242686,1.440194966227088,0.17834774024718597,0.0003381901351829754,0.0004636172214385626,0.00035230990583681997,0.0007878293640613515,0.00014692111008871017,63,45,108,106319,1.0
1000,0.34467998147010803,-5.528930421108406,6.1415291088837005,3.5718485995961733,0.7881475024518527,2.1350113987609385,0.8340368699540088,0.17950763036264475,0.0003402137050090742,0.0004676058016598987,0.00035417031976807005,0.0007919191131209298,0.00017191767721262205,63,45,108,106319,1.0
0,0.0,-24.22977464598306,367.666333640353,264.83627123475463,-20.206377331738814,161.1451369357482,104.86673176701079,0.17439340322873245,0.00031255708485506154,0.0004417832094499269,0.00032630802206275763,0.0007509605315867634,0.0,63,45,108,120717,1.0
10,0.0187668539583683,-24.235860933792818,368.181949644012,265.20767815266834,-20.183636737102326,160.30355156862964,104.31906207848738,0.17464599802877045,0.0003127558183787965,0.00044271164705690094,0.0003263662668588505,0.000751606344830098,9.217010227154235e-06,63,45,108,120717,1.0
50,0.031282052397727966,-24.213771378472607,366.31401728570614,263.86217491935804,-20.163582924965844,159.56504651686154,103.83847288637773,0.17471975217411131,0.00031283535019066983,0.00044259134511449324,0.0003265459735355252,0.0007515006505414723,1.374696141329805e-05,63,45,108,120717,1.0
100,0.0555088110268116,-24.194026805418062,364.6524033768002,262.6652863505588,-20.08894389266011,156.8461489551342,102.06912441747963,0.17499485064505377,0.00031304119226328506,0.0004430111193862692,0.0003268081302703482,0.0007517126043188836,2.566897736204178e-05,63,45,108,120717,1.0
200,0.19562649726867676,-22.489813506063054,246.29622212153623,177.41132956078593,-17.222454430844845,81.0634183989596,52.752791148454726,0.1773286591920966,0.0003146915608286059,0.000452524564893579,0.00032707141882602677,0.0007585054376645359,9.603970773545774e-05,63,45,108,120717,1.0
500,0.3437947630882263,-13.411453674143878,30.45241692909077,21.935390357158763,-7.258912964473371,8.174680113248257,5.31975089672688,0.18028220100249734,0.0003180236950689979,0.00046405028528247297,0.00032912988031804367,0.0007685805949120997,0.00016713355779971842,63,45,108,120717,1.0
1000,0.47921639680862427,-9.424676173806285,12.160292378912242,8.759264028524747,-0.5416354044436349,1.740776483582946,1.1328268667704147,0.18412730559706322,0.00032492144618343513,0.0004763238750835968,0.00033591988401245325,0.0007830247044457689,0.00023659738871818618,63,45,108,120717,1.0
0,0.0,-28.051261729503874,208.1324660574707,638.448943961356,-22.367855855016057,41.0539356783571,172.49860429581975,0.1747288505215207,0.0003093042149979242,0.0004208497547848601,0.0003233813504104159,0.00072880006256572,0.0,63,45,108,121618,1.0
10,0.02143501304090023,-27.005743224512806,163.60176303954412,501.85045524791536,-21.46296025730453,33.33229660999236,140.05416406956437,0.17497560570025586,0.0003097192206568252,0.00042193828463724456,0.0003236350225239706,0.0007296836041745994,1.0946208538690766e-05,63,45,108,121618,1.0
50,0.065851591527462,-25.079568584359567,104.99545876277745,322.0748835471132,-19.623220079061017,21.82183260326403,91.69000742660826,0.17565255519499118,0.00031071114199971995,0.00042477259299589487,0.00032419312257319684,0.0007319735325197462,3.664763563858519e-05,63,45,108,121618,1.0
100,0.10715138912200928,-24.084141267539046,83.48871635537624,256.1026821017955,-18.09438395047454,15.346438633446244,64.48198452691837,0.1763621048992003,0.0003117768299801304,0.00042794448768685323,0.00032475215089392657,0.0007346583916891908,6.044455970678551e-05,63,45,108,121618,1.0
200,0.16083697974681854,-22.74746526026686,61.37057368975636,188.25500271403303,-16.929409772593505,11.735732162330336,49.310678378121295,0.17727410879373803,0.00031320937293217776,0.0004321513222298034,0.0003254880176905038,0.0007383047382456836,8.794380461901147e-05,63,45,108,121618,1.0
500,0.24225398898124695,-20.857805008826006,39.71862065361091,121.83736584804369,-15.680300614015747,8.80236297993875,36.98537797790476,0.17889459770974095,0.00031635207353944406,0.0004386885150072511,0.00032797979331300583,0.0007449106034669727,0.00012798186478670762,63,45,108,121618,1.0
1000,0.34857112169265747,-19.061958150597388,26.266939398180714,80.57416527815877,-13.300201526169925,5.088495147020903,21.38061299905764,0.18128706672527004,0.00032303544907032146,0.0004480949807907755,0.00033442053305078986,0.0007567115544385333,0.00018120249877928487,63,45,108,121618,1.0
0,0.0,-27.542066716455935,477.5789814705389,567.8147522698825,-23.37918321082835,185.16277885052588,217.73002432017574,0.1566807853915402,0.0003758220527910952,0.0004692771534623666,0.00038830204935810363,0.0008158189911938761,0.0,63,45,108,116726,1.0
10,0.02053576149046421,-27.488773453850307,471.75431229201445,560.8895457281832,-23.362529676528755,184.45410993473305,216.8967115927021,0.15652614128214165,0.000375415589471863,0.00046867587333231103,0.0003879362417529424,0.0008152175397031608,8.816750003652857e-06,63,45,108,116726,1.0
50,0.05965583026409149,-27.441885087838187,466.6884386042811,554.8665046718668,-23.334198299625477,183.25473240495614,215.48638225789443,0.15622121094834768,0.00037465573249564194,0.00046752871996557185,0.00038725684140114287,0.0008141819026089371,2.783010217846612e-05,63,45,108,116726,1.0
100,0.07807078212499619,-27.35513194583753,457.45852773399963,543.8926558267093,-23.309887469032013,182.23177933513054,214.28350769447408,0.1559318283813483,0.0003742323710584737,0.00046609708161965543,0.0003871121048701852,0.0008130517019744009,3.4418445226012845e-05,63,45,108,116726,1.0
200,0.14931778609752655,-27.28282768758726,449.90549973586275,534.91252711911,-23.242700040649357,179.43426202447708,210.99395071187774,0.15527072997702804,0.00037353719747550975,0.00046275533198875433,0.00038708835512311094,0.0008106175982784193,5.70658957056912e-05,63,45,108,116726,1.0
500,0.38711151480674744,-26.858187681560672,407.99731167378366,485.0860306738995,-23.25123544954504,179.78726001496153,211.409035544425,0.15338150810745452,0.0003732740694975506,0.0004568068464960717,0.00038823554925550296,0.000809695445932106,0.00012697373451426956,63,45,108,116726,1.0
1000,0.5737406015396118,-26.672305801710976,390.90309906308306,464.76196601572224,-23.338589333367203,183.440109995027,215.70436487537899,0.15284763409958824,0.00037374744061818854,0.00045542873481813203,0.0003894538056754015,0.0008103895443642468,0.00015335012589018127,63,45,108,116726,1.0
