subject,sampling_ratio,objective,lambda_shape,lambda_z,z_norm,PSNR_obs,PSNR_holdout,RelMSE_obs,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,PSNR_obs_z0,PSNR_holdout_z0,FA_MAE_z0,MD_MAE_z0,signal_success,dti_success,fa_not_worse,fa_improve,md_improve,overall_status,delta_PSNR_holdout_vs_z0,delta_FA_MAE_vs_z0,delta_MD_MAE_vs_z0
106319,0.25,directional,0.0,0.0,0.340265154838562,-8.520579271619061,0.8788982057361092,10.58329340229889,2.031883529114525,0.1797232399607918,0.00033911390285481564,0.0004664979324976009,0.0003533263210312931,0.0007897353921248899,0.00016652425347123037,-17.735472002074985,-10.857478865965707,0.17340725400929372,0.00033228888092181474,True,False,False,False,False,FAIL,11.736377071701815,0.006315985951498071,6.825021933000897e-06
106319,0.5,directional,0.0,0.0,0.33965128660202026,-6.853763059260736,1.0300076723085614,8.518146303693921,1.9314823094467335,0.1797119967015385,0.0003391152483433313,0.00046647498224582947,0.00035332892346235506,0.0007897226641986618,0.00016651352169184488,-16.252616823616705,-10.830517741174376,0.17340725400929372,0.00033228888092181474,True,False,False,False,False,FAIL,11.860525413482938,0.006304742692244791,6.82636742151653e-06
106319,1.0,directional,0.0,0.0,0.3378572165966034,-5.1521744176177755,nan,6.523602679936001,nan,0.1796771543784718,0.00033904516031171004,0.000466325431287296,0.00035327161341979467,0.0007895636586007684,0.00016574684516141504,-14.721499063347508,nan,0.17340725400929372,0.00033228888092181474,True,False,False,False,False,FAIL,nan,0.006269900369178072,6.756279389895294e-06
120717,0.25,directional,0.0,0.0,0.5205501914024353,-7.985591739593472,1.7069483829380419,7.944859274568442,1.0673823369046533,0.1855645054207571,0.00032708986676093784,0.0004826315163455788,0.0003372347983768651,0.0007892923323554827,0.0002538740106341992,-25.516673196520525,-20.221954352360388,0.17439340322873245,0.00031255708485506154,True,False,False,False,False,FAIL,21.92890273529843,0.011171102192024635,1.4532781905876298e-05
120717,0.5,directional,0.0,0.0,0.5211981534957886,-6.259383059352207,1.6521359997236935,5.598926985725394,1.1346039871001254,0.18556914760383042,0.00032709560528533586,0.00048267644166578356,0.000337226903220359,0.0007893354870997371,0.0002539566092574492,-24.211114565195476,-20.2717170914211,0.17439340322873245,0.00031255708485506154,True,False,False,False,False,FAIL,21.923853091144792,0.011175744375097968,1.4538520430274317e-05
120717,1.0,directional,0.0,0.0,0.52094566822052,-4.368292928868215,nan,3.954949714034922,nan,0.1855800301354777,0.0003271252164138553,0.00048276131832915894,0.00033723932687359116,0.0007894221658246263,0.0002541094211924534,-22.97064856533528,nan,0.17439340322873245,0.00031255708485506154,True,False,False,False,False,FAIL,nan,0.01118662690674524,1.4568131558793766e-05
121618,0.25,directional,0.0,0.0,0.37002483010292053,-20.72759603657818,-13.286506647477674,42.20422378758103,5.362452646773217,0.18085463176078959,0.0003242676331516165,0.0004455635245072688,0.00033660376869966706,0.0007560596351767522,0.00018139680942249716,-29.585924173909113,-22.32784351302471,0.1747288505215207,0.0003093042149979242,True,False,False,False,False,FAIL,9.041336865547036,0.006125781239268879,1.4963418153692335e-05
121618,0.5,directional,0.0,0.0,0.3707866370677948,-19.17864208037287,-13.216075280651069,25.14351633437676,5.394043988399476,0.18087611641118065,0.0003242973795794886,0.0004456570744361263,0.000336620494037798,0.0007561475275897543,0.00018170815316528467,-28.06488409583863,-22.296576862951593,0.1747288505215207,0.0003093042149979242,True,False,False,False,False,FAIL,9.080501582300524,0.006147265889659942,1.4993164581564398e-05
121618,1.0,directional,0.0,0.0,0.368436723947525,-17.579246155266894,nan,16.17735040142986,nan,0.180855385710391,0.00032420662263289626,0.0004456068078050836,0.0003365110985248718,0.0007560359901063697,0.00018111833065763956,-26.476792154685292,nan,0.1747288505215207,0.0003093042149979242,True,False,False,False,False,FAIL,nan,0.006126535188870297,1.490240763497207e-05
116726,0.25,directional,0.0,0.0,0.5267578959465027,-28.524987662613512,-22.86621225140195,657.6471243133485,155.675192375885,0.1564290931608731,0.00037320764277499053,0.0004639786988534632,0.00038722116097865715,0.0008095831966128262,7.197523809710524e-05,-28.887898736794053,-23.3204300004543,0.1566807853915402,0.0003758220527910952,True,True,True,False,True,WIN,0.4542177490523507,-0.00025169223066709434,-2.6144100161046855e-06
