subject,sampling_ratio,objective,lambda_shape,lambda_z,z_norm,PSNR_obs,PSNR_holdout,RelMSE_obs,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,PSNR_obs_z0,PSNR_holdout_z0,FA_MAE_z0,MD_MAE_z0,signal_success,dti_success,fa_not_worse,fa_improve,md_improve,overall_status,delta_PSNR_holdout_vs_z0,delta_FA_MAE_vs_z0,delta_MD_MAE_vs_z0
106319,0.5,combined,0.0,0.0,0.3446570634841919,-5.598309149673094,1.2451844096637696,6.379691879649612,1.8381166163409368,0.1795090219363382,0.0003402087340750815,0.00046762082194378964,0.0003541590206143344,0.0007919273669555357,0.00017192520470759996,-16.252616823616705,-10.830517741174376,0.17340725400929372,0.00033228888092181474,True,False,False,False,False,FAIL,12.075702150838145,0.006101767927044477,7.919853153266732e-06
106319,0.5,combined,0.01,0.0,0.3446570634841919,-5.598303773088227,1.2451846413990866,6.379683981567776,1.8381165182608223,0.17950902189976245,0.0003402087386145377,0.00046762080998676903,0.0003541590309708033,0.0007919273593061379,0.00017192520958516646,-16.252616823616705,-10.830517741174376,0.17340725400929372,0.00033228888092181474,True,False,False,False,False,FAIL,12.075702382573462,0.0061017678904687345,7.919857692722946e-06
106319,0.5,combined,0.1,0.0,0.3446566164493561,-5.598333789397359,1.2451563505937868,6.379728074973588,1.8381284921559737,0.1795090149783309,0.0003402087632437981,0.00046762071335296527,0.00035415909567939057,0.0007919272955460555,0.0001719251699327037,-16.252616823616705,-10.830517741174376,0.17340725400929372,0.00033228888092181474,True,False,False,False,False,FAIL,12.075674091768162,0.0061017609690371954,7.919882321983382e-06
106319,0.5,combined,1.0,0.0,0.3446536958217621,-5.598520833377467,1.2449186301578021,6.380002846005185,1.8382291088305966,0.1795089198551239,0.00034020912105839037,0.0004676195657528168,0.00035415994212704104,0.0007919266010108546,0.00017192510932053322,-16.252616823616705,-10.830517741174376,0.17340725400929372,0.00033228888092181474,True,False,False,False,False,FAIL,12.075436371332177,0.00610166584583019,7.920240136575628e-06
106319,0.5,combined,10.0,0.0,0.34463226795196533,-5.599865595544202,1.2423987892683377,6.381978674676696,1.8392959860570295,0.17950793982156407,0.0003402141637469229,0.0004676063630686232,0.00035417102356126434,0.000791919273015063,0.0001719297566635602,-16.252616823616705,-10.830517741174376,0.17340725400929372,0.00033228888092181474,True,False,False,False,False,FAIL,12.072916530442713,0.006100685812270357,7.925282825108158e-06
120717,0.5,combined,0.0,0.0,0.5563938617706299,-4.486171602896174,2.2145918481761115,3.7220624736745007,0.9967786345623117,0.1861684055993489,0.0003297502887756089,0.00048095895318615156,0.000341648172204119,0.0007906781922713589,0.0002720558851778043,-24.211114565195476,-20.2717170914211,0.17439340322873245,0.00031255708485506154,True,False,False,False,False,FAIL,22.48630893959721,0.01177500237061646,1.719320392054737e-05
120717,0.5,combined,0.01,0.0,0.5563938617706299,-4.486183588909406,2.2145862348150875,3.722072746140186,0.9967799229235933,0.18616839989375983,0.00032975027646855933,0.0004809588678501595,0.0003416481861142125,0.0007906781147632698,0.00027205585475191497,-24.211114565195476,-20.2717170914211,0.17439340322873245,0.00031255708485506154,True,False,False,False,False,FAIL,22.486303326236186,0.011774996665027376,1.7193191613497783e-05
120717,0.5,combined,0.1,0.0,0.5563939809799194,-4.486278121799256,2.214559400856713,3.7221537653879686,0.9967860817938318,0.18616835968771836,0.0003297502197485335,0.000480958163797224,0.00034164836460537655,0.0007906775313589793,0.00027205571593772365,-24.211114565195476,-20.2717170914211,0.17439340322873245,0.00031255708485506154,True,False,False,False,False,FAIL,22.486276492277813,0.011774956458985908,1.7193134893471972e-05
120717,0.5,combined,1.0,0.0,0.5563937425613403,-4.487327123284479,2.214252844254294,3.7230529286478435,0.9968564446817533,0.18616793518528177,0.0003297495794183289,0.0004809513955653074,0.0003416499216630334,0.0007906718430456905,0.00027205379809275445,-24.211114565195476,-20.2717170914211,0.17439340322873245,0.00031255708485506154,True,False,False,False,False,FAIL,22.485969935675392,0.011774531956549317,1.7192494563267368e-05
120717,0.5,combined,10.0,0.0,0.5566911101341248,-4.474047050050686,2.2199653381765536,3.711685780122245,0.995546091199244,0.18617446499140436,0.00032976721413544496,0.00048092619793968565,0.0003416872297190105,0.0007906676437484537,0.00027219018919487207,-24.211114565195476,-20.2717170914211,0.17439340322873245,0.00031255708485506154,True,False,False,False,False,FAIL,22.491682429597653,0.011781061762671907,1.7210129280383415e-05
121618,0.5,combined,0.0,0.0,0.38905003666877747,-17.969307415008203,-11.797782130949734,19.03235577215669,3.8912144752750684,0.18242675401369657,0.0003266251955587424,0.0004521723128122682,0.0003381306244454894,0.0007625066469361212,0.00020399890681949072,-28.06488409583863,-22.296576862951593,0.1747288505215207,0.0003093042149979242,True,False,False,False,False,FAIL,10.498794732001858,0.0076979034921758616,1.732098056081823e-05
121618,0.5,combined,0.01,0.0,0.3890500068664551,-17.969307659623247,-11.797783527925816,19.032356844148353,3.8912157269452248,0.1824267538884465,0.00032662519644907064,0.0004521723069015472,0.0003381306280140673,0.0007625066405334669,0.0002039989054274838,-28.06488409583863,-22.296576862951593,0.1747288505215207,0.0003093042149979242,True,False,False,False,False,FAIL,10.498793335025777,0.007697903366925801,1.732098145114646e-05
121618,0.5,combined,0.1,0.0,0.3890497386455536,-17.96930952608612,-11.797794306316645,19.032365023666298,3.891225384239458,0.18242674923419003,0.00032662522390107437,0.0004521722254717908,0.0003381306903221615,0.0007625065938897464,0.00020399887996903508,-28.06488409583863,-22.296576862951593,0.1747288505215207,0.0003093042149979242,True,False,False,False,False,FAIL,10.498782556634948,0.007697898712669321,1.7321008903150182e-05
121618,0.5,combined,1.0,0.0,0.389046311378479,-17.96936672768457,-11.79796958519418,19.032615703542874,3.8913824351368924,0.18242670520654372,0.0003266255220411134,0.0004521714223900869,0.0003381313383107742,0.0007625061422334401,0.0002039984743348826,-28.06488409583863,-22.296576862951593,0.1747288505215207,0.0003093042149979242,True,False,False,False,False,FAIL,10.498607277757413,0.0076978546850230145,1.7321307043189206e-05
121618,0.5,combined,10.0,0.0,0.3890428841114044,-17.970064401416256,-11.800578015683454,19.035673449657793,3.893720353267462,0.1824251648273491,0.00032662852781240823,0.0004521580310517691,0.00033813921451185885,0.0007624982151091654,0.000203983889329673,-28.06488409583863,-22.296576862951593,0.1747288505215207,0.0003093042149979242,True,False,False,False,False,FAIL,10.495998847268138,0.0076963143058284,1.7324312814484045e-05
116726,0.5,combined,0.0,0.0,0.5768490433692932,-26.681936574681067,-23.30050114659201,412.4114330543906,169.80813887006406,0.15284681772668932,0.00037372137057451366,0.0004554491740591562,0.00038941499303893383,0.000810347097060813,0.00015316046314576943,-27.558568981992554,-23.318394741191945,0.1566807853915402,0.0003758220527910952,False,True,True,True,True,MIXED,0.017893594599936335,-0.0038339676648508902,-2.1006822165815634e-06
116726,0.5,combined,0.01,0.0,0.5768490433692932,-26.681935738788674,-23.300500630618597,412.4113536770186,169.80811869562405,0.152846816966815,0.00037372137114735166,0.00045544917262733086,0.00038941499384475436,0.000810347098581028,0.00015316047476648175,-27.558568981992554,-23.318394741191945,0.1566807853915402,0.0003758220527910952,False,True,True,True,True,MIXED,0.017894110573347888,-0.0038339684247251926,-2.1006816437435624e-06
116726,0.5,combined,0.1,0.0,0.5768492221832275,-26.681936425809255,-23.300501511530666,412.41141891733855,169.8081531390818,0.15284681813495926,0.00037372136827035164,0.00045544917478311574,0.00038941498990403096,0.0008103470897553298,0.0001531604449162501,-27.558568981992554,-23.318394741191945,0.1566807853915402,0.0003758220527910952,False,True,True,True,True,MIXED,0.017893229661279264,-0.0038339672565809446,-2.1006845207435787e-06
116726,0.5,combined,1.0,0.0,0.5768513083457947,-26.681930373188795,-23.300499469899584,412.41084415340373,169.80807331179022,0.15284682830799162,0.0003737213578351695,0.0004554491885625578,0.0003894149800674631,0.0008103470465103765,0.00015316043234142078,-27.558568981992554,-23.318394741191945,0.1566807853915402,0.0003758220527910952,False,True,True,True,True,MIXED,0.01789527129236035,-0.0038339570835485837,-2.1006949559257025e-06
116726,0.5,combined,10.0,0.0,0.5768696665763855,-26.68187092752691,-23.30047989565014,412.40519916622685,169.80730796518066,0.15284691397664749,0.0003737212574921871,0.00045544932162836085,0.00038941486526996455,0.0008103466352230315,0.00015316009914113392,-27.558568981992554,-23.318394741191945,0.1566807853915402,0.0003758220527910952,False,True,True,True,True,MIXED,0.017914845541803004,-0.00383387141489272,-2.1007952989081065e-06
