subject,sampling_ratio,objective,lambda_shape,lambda_z,z_norm,PSNR_obs,PSNR_holdout,RelMSE_obs,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,PSNR_obs_z0,PSNR_holdout_z0,FA_MAE_z0,MD_MAE_z0,signal_success,dti_success,fa_not_worse,fa_improve,md_improve,overall_status,delta_PSNR_holdout_vs_z0,delta_FA_MAE_vs_z0,delta_MD_MAE_vs_z0
106319,0.5,combined,0.0,0.001,0.34465640783309937,-5.5983218192999304,1.2451770818869623,6.379710491084185,1.8381197177664061,0.17950901872402744,0.00034020872142255277,0.0004676208083142082,0.00035415900724808055,0.0007919273452021544,0.0001719250990206285,-16.252616823616705,-10.830517741174376,0.17340725400929372,0.00033228888092181474,True,False,False,False,False,FAIL,12.075694823061339,0.006101764714733726,7.919840500738022e-06
106319,0.5,combined,0.0,0.01,0.3446506857872009,-5.598508770983168,1.2450821427397336,6.379985125770117,1.8381599005072033,0.1795089776136864,0.00034020860877429713,0.00046762066604243195,0.00035415888874378503,0.0007919271496130504,0.0001719240769383793,-16.252616823616705,-10.830517741174376,0.17340725400929372,0.00033228888092181474,True,False,False,False,False,FAIL,12.075599883914109,0.006101723604392678,7.91972785248239e-06
106319,0.5,combined,0.0,0.1,0.3445931673049927,-5.600373488115063,1.2441750405809806,6.382725068939504,1.83854387337092,0.17950853165116887,0.0003402074640574526,0.00046761923441004114,0.0003541576575817509,0.0007919251838164472,0.0001719135754098193,-16.252616823616705,-10.830517741174376,0.17340725400929372,0.00033228888092181474,True,False,False,False,False,FAIL,12.074692781755356,0.006101277641875152,7.918583135637855e-06
120717,0.5,combined,0.0,0.001,0.5563932061195374,-4.486196719313274,2.214581707936333,3.7220839994243744,0.9967809619200337,0.18616839569531043,0.0003297502568142138,0.00048095894712436415,0.0003416481265682006,0.0007906781547670203,0.0002720556596614131,-24.211114565195476,-20.2717170914211,0.17439340322873245,0.00031255708485506154,True,False,False,False,False,FAIL,22.48629879935743,0.011774992466577983,1.719317195915225e-05
120717,0.5,combined,0.0,0.01,0.5563868284225464,-4.486452858456229,2.2144821098283622,3.722303527776673,0.9968038216708238,0.18616829641633117,0.00032974994524920107,0.00048095889009840104,0.0003416476770067019,0.0007906778152145139,0.00027205340680107174,-24.211114565195476,-20.2717170914211,0.17439340322873245,0.00031255708485506154,True,False,False,False,False,FAIL,22.486199201249462,0.011774893187598723,1.7192860394139528e-05
120717,0.5,combined,0.0,0.1,0.5563121438026428,-4.48967457057971,2.213241082220735,3.7250658561197225,0.9970887062088518,0.18616702349039058,0.0003297460752747285,0.0004809580079744453,0.0003416421466980859,0.0007906734887820768,0.0002720258052104501,-24.211114565195476,-20.2717170914211,0.17439340322873245,0.00031255708485506154,True,False,False,False,False,FAIL,22.484958173641836,0.011773620261658124,1.7188990419666973e-05
121618,0.5,combined,0.0,0.001,0.38904961943626404,-17.969307894960732,-11.79778488325049,19.032357875482468,3.8912169412967166,0.18242675035835418,0.0003266251869086029,0.00045217230332674727,0.00033813061500909337,0.0007625066309353921,0.00020399884550762522,-28.06488409583863,-22.296576862951593,0.1747288505215207,0.0003093042149979242,True,False,False,False,False,FAIL,10.498791979701103,0.007697899836833472,1.7320971910678704e-05
121618,0.5,combined,0.0,0.01,0.3890453577041626,-17.96932569457425,-11.79784515012987,19.032435879998484,3.891270939940258,0.18242670534486558,0.0003266251061257522,0.00045217216449630127,0.0003381305363155244,0.00076250645900535,0.0002039980978670575,-28.06488409583863,-22.296576862951593,0.1747288505215207,0.0003093042149979242,True,False,False,False,False,FAIL,10.498731712821723,0.0076978548233448685,1.7320891127828027e-05
121618,0.5,combined,0.0,0.1,0.38900259137153625,-17.969540321776197,-11.798469871743276,19.0333764812651,3.891830729671254,0.18242625050998285,0.0003266243575873449,0.0004521707905159255,0.0003381298185188749,0.0007625047791613145,0.00020399081225513997,-28.06488409583863,-22.296576862951593,0.1747288505215207,0.0003093042149979242,True,False,False,False,False,FAIL,10.498106991208317,0.007697399988462139,1.7320142589420716e-05
116726,0.5,combined,0.0,0.001,0.5768471956253052,-26.681938992044692,-23.300501494444585,412.41166261030594,169.80815247101992,0.15284682358346208,0.0003737213619232382,0.00045544918478792023,0.000389414977572219,0.0008103470794823723,0.0001531602232151852,-27.558568981992554,-23.318394741191945,0.1566807853915402,0.0003758220527910952,False,True,True,True,True,MIXED,0.01789324674735937,-0.003833961808078129,-2.100690867857006e-06
116726,0.5,combined,0.0,0.01,0.5768308639526367,-26.68194622361517,-23.300487325920244,412.41234933017296,169.80759848585149,0.15284687495477547,0.0003737212868152691,0.0004554492735512566,0.0003894148447689711,0.0008103469230018364,0.00015315815861533457,-27.558568981992554,-23.318394741191945,0.1566807853915402,0.0003758220527910952,False,True,True,True,True,MIXED,0.0179074152717007,-0.0038339104367647314,-2.1007659758261123e-06
116726,0.5,combined,0.0,0.1,0.5759936571121216,-26.681656781896123,-23.298575747515933,412.3848644399335,169.73287289652785,0.15285526413942144,0.00037370853694979175,0.00045546468008334103,0.0003893949009779502,0.0008103185737924998,0.00015291383922720524,-27.558568981992554,-23.318394741191945,0.1566807853915402,0.0003758220527910952,False,True,True,True,True,MIXED,0.019818993676011587,-0.0038255212521187687,-2.1135158413034677e-06
