iteration,z_norm,PSNR_obs,RelMSE_obs,PSNR_holdout,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,signal_loss_obs,L_directional,L_angular,L_z,objective,lambda_shape,lambda_z,subject,sampling_ratio
0,0.0,-17.735472002074985,88.33038214855918,-10.857478865965707,30.306551153446964,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,40,68,nan,nan,nan,nan,signal,0.0,0.0,106319,0.25
10,0.010380687192082405,-17.7366471657633,88.35428682783196,-10.871585031365285,30.405148829034395,0.17334774477342305,0.00033235392902822476,0.00044485959320926776,0.00034851476305258603,0.0007727343491698526,2.3476537579995762e-06,40,68,20.18296241760254,5.8729071617126465,0.04458484798669815,9.359817340737209e-05,signal,0.0,0.0,106319,0.25
50,0.03776223585009575,-17.452885432571545,82.76590199170863,-10.50149793101432,27.921479283086065,0.173571493760126,0.0003328357114859925,0.00044529939759712327,0.0003491095617249158,0.0007732253719218847,1.542323589228072e-05,40,68,1.6186999082565308,0.4651980996131897,0.04148765280842781,0.0013594713527709246,signal,0.0,0.0,106319,0.25
100,0.0614834800362587,-17.15574168722957,77.2924507432398,-9.956517242852982,24.628635694004004,0.1740877660129459,0.00033330898082950517,0.00044756403366837794,0.00034919169929867626,0.0007749578844489434,2.8512365216787847e-05,40,68,7.861791133880615,2.2362923622131348,0.0440000519156456,0.0037460862658917904,signal,0.0,0.0,106319,0.25
200,0.13835300505161285,-16.646586121351852,68.74189835052529,-7.382035634056502,13.614202115900262,0.17559064943118483,0.00033487441702666145,0.00045318710645781817,0.0003501757634510273,0.0007792261241554915,7.62090340162267e-05,40,68,11.794851303100586,2.7519824504852295,0.0460817925632,0.018725836649537086,signal,0.0,0.0,106319,0.25
500,0.28032198548316956,-12.09621542220769,24.10929168972741,-1.7131070743891081,3.6906200590630305,0.17812946533309468,0.00033796885610097013,0.00046327696430619245,0.00035201999731477787,0.0007875914241034653,0.00014372543767434098,40,68,0.8216132521629333,0.1887650042772293,0.04836220666766167,0.07846766710281372,signal,0.0,0.0,106319,0.25
1000,0.3443569242954254,-7.471932541452302,8.312969044386728,0.9954622082541043,1.9780734307876053,0.17939093257770358,0.0003399839755692771,0.0004677783723113588,0.0003537425557377213,0.0007920002206932942,0.00017098313535655058,40,68,4.768065452575684,0.24623559415340424,0.0496777780354023,0.11848673224449158,signal,0.0,0.0,106319,0.25
0,0.0,-16.252616823616705,74.17037443600401,-10.830517741174376,29.644441735591176,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,63,45,nan,nan,nan,nan,signal,0.0,0.0,106319,0.5
10,0.010289322584867477,-16.247244211468576,74.07867576382843,-10.833742393025425,29.666461011855866,0.17335832499452855,0.0003323646125254163,0.0004448958890250009,0.0003485209281790518,0.0007727617735407709,2.330460220237636e-06,63,45,14.935843467712402,5.840728282928467,0.04512885585427284,9.237225458491594e-05,signal,0.0,0.0,106319,0.5
50,0.03927743434906006,-15.908369458355613,68.51816680433194,-10.39235829232258,26.79953948032138,0.17364175408109497,0.0003328897132725326,0.0004455286290535846,0.00034913617629806176,0.0007733790403298095,1.6768600857721555e-05,63,45,1.1878572702407837,0.4588570296764374,0.042300231754779816,0.0014701045583933592,signal,0.0,0.0,106319,0.5
100,0.06483528017997742,-15.611838454461429,63.99597124050508,-9.816053697955196,23.46912357931576,0.17416812813259544,0.0003334002287997384,0.0004477752278899869,0.0003492832976398973,0.0007750977646437346,3.143176548633394e-05,63,45,5.7948384284973145,2.2241737842559814,0.044412970542907715,0.004170163534581661,signal,0.0,0.0,106319,0.5
200,0.15110057592391968,-14.815520641381465,53.2746804286406,-6.895978884693172,11.980898542870614,0.17582296277486997,0.00033521793251098565,0.000453634045511847,0.000350600202752071,0.0007795820806018542,8.311858078266878e-05,63,45,4.813185691833496,1.540128231048584,0.04641377180814743,0.022392332553863525,signal,0.0,0.0,106319,0.5
500,0.28490304946899414,-9.855813990990296,17.003964445776013,-1.1997663296126684,3.2275140013421724,0.17834793947805586,0.0003381867573127896,0.0004636248459642407,0.00035230273738261686,0.0007878333638512397,0.00014692091389000172,63,45,0.5662009716033936,0.17957518994808197,0.0485985167324543,0.08107082545757294,signal,0.0,0.0,106319,0.5
1000,0.3446570634841919,-5.598309149673094,6.379691879649612,1.2451844096637696,1.8381166163409368,0.1795090219363382,0.0003402087340750815,0.00046762082194378964,0.0003541590206143344,0.0007919273669555357,0.00017192520470759996,63,45,3.3053691387176514,0.2453659474849701,0.04986339807510376,0.1187000572681427,signal,0.0,0.0,106319,0.5
