latent_id,n_voxels,mean_FA,std_FA,mean_MD,std_MD,mean_AD,std_AD,mean_RD,std_RD,mean_lambda1,std_lambda1,mean_lambda2,std_lambda2,mean_lambda3,std_lambda3,mean_D_frobenius,std_D_frobenius,D00_mean,D00_std,D00_min,D00_max,D01_mean,D01_std,D01_min,D01_max,D02_mean,D02_std,D02_min,D02_max,D10_mean,D10_std,D10_min,D10_max,D11_mean,D11_std,D11_min,D11_max,D12_mean,D12_std,D12_min,D12_max,D20_mean,D20_std,D20_min,D20_max,D21_mean,D21_std,D21_min,D21_max,D22_mean,D22_std,D22_min,D22_max,mean_D_change,relative_D_change,median_relative_D_change,p95_relative_D_change,mean_delta_lambda1,mean_delta_lambda2,mean_delta_lambda3,mean_abs_delta_lambda1,mean_abs_delta_lambda2,mean_abs_delta_lambda3,mean_relative_eigenvalue_change,mean_abs_cos_v1,mean_delta_FA,mean_delta_MD,mean_delta_AD,mean_delta_RD,mean_abs_delta_FA,mean_abs_delta_MD
z=0,793349,0.1245679269504094,0.13811279169910512,0.0008111349515346625,0.0003032576258071521,0.0009353355993448201,0.0005422181951147128,0.0007490346276295837,0.000273906165546158,0.0009353355993448201,0.0005422181951147128,0.0007800906353164521,0.0002812409056245752,0.0007179786199427157,0.0002750290025637522,0.001433670514584397,0.0006262700715431859,0.00077271772661176,0.0002805754657009362,1.1253516873921399e-07,0.006655050441622734,2.1178707448491622e-06,1.3563865744464113e-05,-0.000166789919603616,0.0001810172398108989,-5.520066432247376e-07,1.4405516788583381e-05,-0.0001502433733548969,0.0001888404367491603,2.1178707448491622e-06,1.3563865744464113e-05,-0.000166789919603616,0.0001810172398108989,0.0008422357096842441,0.0003191992628428694,1.125376627442165e-07,0.009141171351075172,-2.3960346127046232e-05,0.00020571857529330057,-0.0025167528074234724,0.0022744007874280214,-5.520066432247376e-07,1.4405516788583381e-05,-0.0001502433733548969,0.0001888404367491603,-2.3960346127046232e-05,0.00020571857529330057,-0.0025167528074234724,0.0022744007874280214,0.0008184514153079838,0.00045179326567997794,1.1279959011289975e-07,0.012301607057452202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
z_101309,793349,0.1221171759315021,0.16455823343179526,0.0008148568673194828,0.0003567526595543347,0.000961762036886013,0.0007850338910430135,0.0007414042825362179,0.000286176107651096,0.000961762036886013,0.0007850338910430135,0.000776909289141813,0.0002935692273825519,0.0007058992759306227,0.00029539587757670824,0.0014608389487437074,0.0008261582376851432,0.0007576767947469123,0.00030839153026736434,1.1253516873921399e-07,0.008368920534849167,3.4824969074737434e-06,1.457342420320168e-05,-0.00017625647888053209,0.0006710951565764844,1.942042556556861e-06,1.467008659523515e-05,-0.00010543190728640184,0.00043682404793798923,3.4824969074737434e-06,1.457342420320168e-05,-0.00017625647888053209,0.0006710951565764844,0.0008331553395768906,0.00037048783548386657,1.1253517584464134e-07,0.00784244854003191,-4.306011199018332e-05,0.00032248999671929463,-0.0025167730636894703,0.0025054006837308407,1.942042556556861e-06,1.467008659523515e-05,-0.00010543190728640184,0.00043682404793798923,-4.306011199018332e-05,0.00032248999671929463,-0.0025167730636894703,0.0025054006837308407,0.0008537384646346456,0.0006119926888179612,1.125592987705204e-07,0.007781296502798796,0.0003259247806174679,3.3075102192137495,0.08298806516547678,0.9248327309371214,2.6426437541192806e-05,-3.1813461746391244e-06,-1.2079344012092862e-05,0.0002069106575591195,0.00014514629036951765,0.00013878298067159154,3.296624850876776,0.822021894482269,-0.0024507510189072947,3.7219157848202735e-06,2.6426437541192806e-05,-7.630345093365996e-06,0.06209341494557025,0.00014872182924683663
z_102715,793349,0.1307405504849248,0.1337139718276068,0.0008057929644101241,0.00026085170150059767,0.000929509958549352,0.0004495720801044433,0.0007439344673405103,0.00024642863458680404,0.000929509958549352,0.0004495720801044433,0.0007747060662196428,0.0002492752850445172,0.0007131628684613778,0.00025040178211780035,0.0014208699991210385,0.0005299455115634491,0.0007684541475414115,0.00025535934078404983,1.1253516873921399e-07,0.00442465441301465,9.706978863087177e-07,1.3410110481317525e-05,-0.00012985315697733313,0.0001667032192926854,-1.1880799075621346e-06,1.5545525921893784e-05,-0.00018767679284792393,0.0002621845924295485,9.706978863087177e-07,1.3410110481317525e-05,-0.00012985315697733313,0.0001667032192926854,0.0008459354922490473,0.0002773184422969572,1.1253521137177813e-07,0.00581309525296092,-2.0416513366820976e-05,0.0001691151442683777,-0.0025166792329400778,0.002175192814320326,-1.1880799075621346e-06,1.5545525921893784e-05,-0.00018767679284792393,0.0002621845924295485,-2.0416513366820976e-05,0.0001691151442683777,-0.0025166792329400778,0.002175192814320326,0.0008029892504399139,0.00038444543109449465,1.1280454970119536e-07,0.007469176314771175,0.00014980981574192403,2.789147561356698,0.046179563563664254,0.37717507796045013,-5.825640795468224e-06,-5.3845690968093135e-06,-4.815751481337698e-06,8.733446840278775e-05,6.942495327975996e-05,6.751969735509664e-05,2.7828622626786905,0.9191049101354145,0.006172623534515411,-5.3419871245384116e-06,-5.825640795468224e-06,-5.100160289073507e-06,0.031317701324445814,6.762110032889653e-05
z_103515,793349,0.116224671754265,0.1359881717143559,0.0007561176575950187,0.0003417901629594039,0.0008356268140667142,0.00037611528345067726,0.0007163630793591712,0.00033592089000593215,0.0008356268140667142,0.00037611528345067726,0.0007395098271800988,0.00034373398468396337,0.0006932163315382433,0.0003292625095379686,0.0013191178351478464,0.0005946877588380808,0.0007370277759971727,0.0003398222241846662,1.1253516873921399e-07,0.005908005405217409,2.6915584934265356e-06,1.3487365338593172e-05,-0.00019732145301532,0.00021785759599879384,-5.351330641929331e-07,1.2900304559417779e-05,-0.00025624336558394134,0.00013086566468700767,2.6915584934265356e-06,1.3487365338593172e-05,-0.00019732145301532,0.00021785759599879384,0.000774838417813098,0.00035127938267208756,1.1253517584464134e-07,0.007926397025585175,-6.109331107877351e-06,5.253537390843308e-05,-0.002401795471087098,0.0015031046932563186,-5.351330641929331e-07,1.2900304559417779e-05,-0.00025624336558394134,0.00013086566468700767,-6.109331107877351e-06,5.253537390843308e-05,-0.002401795471087098,0.0015031046932563186,0.0007564867759747855,0.0003642608843849697,1.1254620346790034e-07,0.00905819982290268,0.000350833313314045,0.6307583998870189,0.09102390811124236,0.8852796281666334,-9.970878527810594e-05,-4.058080813635317e-05,-2.4762288404472346e-05,0.0002132404908897315,0.00017048590742140343,0.0001645265061057509,0.6210666119821234,0.811523082656517,-0.008343255196144398,-5.5017293939643816e-05,-9.970878527810594e-05,-3.267154827041276e-05,0.06075547972412047,0.00017246149614655461
z_new,793349,0.12193936988283136,0.13991985503398294,0.0008090201282143262,0.0003167345707578352,0.0009327557574372939,0.0005738562986089124,0.0007471523136028424,0.0002822451205790434,0.0009327557574372939,0.0005738562986089124,0.0007783960429855603,0.0002908092015477012,0.0007159085842201244,0.0002830532779284427,0.0014314302905901282,0.0006583815940311293,0.0007699026290808544,0.00028967396259685536,1.1253516873921399e-07,0.006889067590236664,2.4704838131417827e-06,1.3574970272260507e-05,-0.00017700903117656708,0.00019392024842090905,-1.4372881181103532e-07,1.411865339398877e-05,-0.00013768857752438635,0.00015520151646342129,2.4704838131417827e-06,1.3574970272260507e-05,-0.00017700903117656708,0.00019392024842090905,0.0008365675785088462,0.00033249950870391,1.1253516873921399e-07,0.009537983685731888,-2.544248281462109e-05,0.0002180765365057988,-0.0025167500134557486,0.00236031343229115,-1.4372881181103532e-07,1.411865339398877e-05,-0.00013768857752438635,0.00015520151646342129,-2.544248281462109e-05,0.0002180765365057988,-0.0025167500134557486,0.00236031343229115,0.0008205901740532781,0.0004741725373327561,1.1264948795997043e-07,0.013156360015273094,8.719623702609718e-05,0.16302602661661963,0.021107302273263972,0.2650269681213191,-2.57984190752621e-06,-1.6945923308916466e-06,-2.070035722591148e-06,5.124883889201167e-05,4.263198198894992e-05,3.99730825504364e-05,0.1594735588548865,0.9643660591263554,-0.0026285570675780535,-2.1148233203363347e-06,-2.57984190752621e-06,-1.8823140267413978e-06,0.01572036121991295,4.14306733303898e-05
