name,l2_norm,mean,std,min,max
z_0,0.0,0.0,0.0,0.0,0.0
z_signal,0.36324456334114075,-0.0065030260011553764,0.09057800471782684,-0.13896284997463226,0.13538295030593872
z_DTI,1.1266764402389526,-0.025374896824359894,0.28052380681037903,-0.4726393222808838,0.5766336917877197
z_101309,0.8100023865699768,-0.08235028386116028,0.18499980866909027,-0.39745163917541504,0.21909429132938385
z_102715,0.45507296919822693,-0.002643318846821785,0.11373753100633621,-0.23393964767456055,0.2319958508014679
z_103515,0.7824238538742065,-0.0016140826046466827,0.19559930264949799,-0.4879370927810669,0.24275770783424377
dist_z_signal_to_101309,0.6353904604911804,,,,
dist_z_signal_to_102715,0.7742341160774231,,,,
dist_z_signal_to_103515,0.7277493476867676,,,,
dist_z_DTI_to_101309,1.6882981061935425,,,,
dist_z_DTI_to_102715,0.9209158420562744,,,,
dist_z_DTI_to_103515,1.2626513242721558,,,,
