iteration,latent_norm,PSNR,RelMSE,MSE,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_delta_D_fro,mean_relative_delta_D,mean_delta_lambda1,mean_delta_lambda2,mean_delta_lambda3,mean_signed_delta_FA,mean_abs_delta_FA,mean_signed_delta_MD,mean_abs_delta_MD,mean_D_fro_error_vs_wls,mean_relative_D_error_vs_wls,mean_abs_delta_lambda1_vs_wls,mean_abs_delta_lambda2_vs_wls,mean_abs_delta_lambda3_vs_wls,objective
0,0.0,-14.721499063347508,59.07720864650867,29.658549432176496,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007727638114817885,4263.552679259663,0.00044504022793845447,0.0003453127058016276,0.0003699707223026191,signal
10,0.01375515852123499,-14.640239564705148,57.98211022150415,29.108776829252157,0.17345514498388515,0.00033247860528982183,0.0004452807483838642,0.0003485836231622821,3.843165772879106e-06,0.003330528894871669,-2.3957340017934626e-08,3.598104529139272e-09,-1.0424959137828054e-08,-5.531813506189649e-06,0.0007421999111032704,-1.0261398208874273e-08,1.8395321086221274e-06,0.0007730804355042897,4252.783910868754,0.00044528074903549275,0.0003455135384197441,0.00037013135773791795,signal
50,0.0468941256403923,-14.204749192432136,52.449938095120814,26.331458735917604,0.17384048276394007,0.00033307478762448087,0.00044629535143011915,0.00034921009365368564,2.100080405860904e-05,0.01868055956297595,-1.1579061982319562e-06,-3.175669270370217e-07,-1.831611790940428e-07,-0.0005219296170909626,0.003913745092105578,-5.528781014543401e-07,1.0109443979634162e-05,0.0007739696207890512,4192.8273127733,0.0004462953520886714,0.00034613865386203576,0.0003707540802924642,signal
100,0.07164169102907181,-13.854208408835353,48.382789241367156,24.289626731822036,0.17436030218109663,0.0003335771500570325,0.0004485043895333446,0.00034936413829631663,3.6994156516522126e-05,0.04099744349399148,-5.013935450646381e-07,-3.052375113605105e-07,-4.781718331663784e-07,-0.0009436324638839477,0.006842364819663419,-4.282676298638423e-07,1.7478472149933118e-05,0.0007756504607597259,4153.264630927655,0.0004485043901734482,0.0003462341073840531,0.0003710703679502096,signal
200,0.15938934683799744,-12.840207389477419,38.30811651367358,19.231835648712718,0.17600725507768133,0.0003354222164589808,0.0004541822059940149,0.0003507902469993511,8.713998631935982e-05,0.16296151548611695,-2.578696026544513e-06,-1.6907529979207939e-06,-2.0673171769651273e-06,-0.0026327341370562416,0.015714186810673582,-2.112255400476811e-06,4.1398898791138384e-05,0.0007800559989572987,3899.820188619715,0.0004541822066714701,0.0003475217676508962,0.0003728041714934949,signal
500,0.2960807681083679,-7.249393238709008,10.573271510466755,5.308102785109059,0.1786124812798491,0.00033869912720832913,0.0004641494346118414,0.000352936150886551,0.00015184368791479818,0.4424599041608277,-3.855894265106006e-06,-3.9078052888231515e-06,-5.3156529479693575e-06,-0.0039581378211414895,0.027537767988074915,-4.359784167299504e-06,7.196311958141881e-05,0.0007884648158507597,3436.881038775991,0.0004641494352483224,0.00034946409206020924,0.00037544940540622273,signal
1000,0.36324456334114075,-2.597134608204725,3.6222925405770683,1.8185006508234567,0.17999496941880141,0.00034149258412955076,0.00046831434616923954,0.00035583767846470826,0.0001810038215515872,0.5418812272000787,-7.977928099143157e-06,-6.262111968629314e-06,-7.412844412136099e-06,-0.004513240263894343,0.03289466140255342,-7.2176281599695236e-06,8.64215107539114e-05,0.0007932474663061984,3196.466780907445,0.00046831434679757314,0.000352314400494973,0.00037831608838408425,signal
