name,PSNR,FA_MAE,MD_MAE,mean_D_fro_error_vs_wls,latent_norm,RelMSE,lambda_DTI,lambda_z
z0,-14.721499063347508,0.17340725400929372,0.00033228888092181474,0.0007727638114817885,0.0,59.07720864650867,,
phase5_signal,-2.597134608204725,0.17999496941880141,0.00034149258412955076,0.0007932474663061984,0.36324456334114075,3.6222925405770683,,
phase5_dti_oracle,-18.549147018249784,0.16399892760847987,0.00032809941634992295,0.0007445807077974063,1.1266764402389526,142.62142209295655,,
phase6_best_compromise,-14.201503449815485,0.17396562919401026,,0.0007738838911891102,0.038133375346660614,,1000.0,0.0
lambdaDTI=0.0,-14.201470122811589,0.1739663468501147,,0.0007739036857032151,0.038172028958797455,,0.0,0.0
lambdaDTI=0.001,-14.201470068812693,0.1739663469745176,,0.0007739036856997948,0.038172028958797455,,0.001,0.0
lambdaDTI=0.01,-14.20147028461969,0.17396634695828234,,0.000773903686578393,0.038172028958797455,,0.01,0.0
lambdaDTI=0.1,-14.201470057870154,0.17396634723494275,,0.0007739036827629341,0.03817201778292656,,0.1,0.0
lambdaDTI=1.0,-14.201468999101046,0.1739663458668899,,0.0007739036583686348,0.03817193582653999,,1.0,0.0
lambdaDTI=10.0,-14.201474093289788,0.17396633145791982,,0.0007739034392030039,0.038171108812093735,,10.0,0.0
lambdaDTI=100.0,-14.201524005408523,0.17396617926672597,,0.0007739012128575944,0.03816135600209236,,100.0,0.0
lambdaDTI=1000.0,-14.201503449815485,0.17396562919401026,,0.0007738838911891102,0.038133375346660614,,1000.0,0.0
lambdaDTI=10000.0,-14.205430761173059,0.17395328320891973,,0.0007737064748437129,0.03769088163971901,,10000.0,0.0
