iteration,latent_norm,L_signal,L_DTI,L_z,PSNR,RelMSE,MSE,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_fro_error_vs_wls,mean_relative_delta_D,mean_delta_D_fro,lambda_DTI,lambda_z,tag,weighted_DTI,weighted_z
0,0.0,nan,nan,nan,-14.721499063347508,59.07720864650867,29.658549432176496,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,0.0,0.0,0.0,lambdaDTI=0.0,nan,nan
10,0.02173784002661705,6.759746074676514,0.0007853517308831215,0.0003853461821563542,-14.418309947633771,55.09358781065344,27.658651024887018,0.17372734935161174,0.00033255292989127846,0.00044598308476594405,0.00034859617539534436,0.0007733548093128886,0.01121267582874241,1.2160871185470068e-05,0.0,0.0,lambdaDTI=0.0,0.0,0.0
20,0.038172028958797455,1.9353013038635254,0.00079911551438272,0.0013712802901864052,-14.201470122811589,52.41035157166251,26.311585101232843,0.1739663468501147,0.00033276364985789235,0.0004467949168302748,0.000348717588656679,0.0007739036857032151,0.02022205649425194,2.1072273259324017e-05,0.0,0.0,lambdaDTI=0.0,0.0,0.0
0,0.0,nan,nan,nan,-14.721499063347508,59.07720864650867,29.658549432176496,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,0.0,0.001,0.0,lambdaDTI=0.001,nan,nan
10,0.02173784002661705,6.759746074676514,0.0007853517308831215,0.0003853461821563542,-14.418309645305818,55.09358397539146,27.658649099469258,0.17372734939422363,0.0003325529299425685,0.0004459830848706431,0.0003485961754184735,0.0007733548094707634,0.011212676319066115,1.2160871767159541e-05,0.001,0.0,lambdaDTI=0.001,7.853517308831215e-07,0.0
20,0.038172028958797455,1.9353013038635254,0.00079911551438272,0.0013712802901864052,-14.201470068812693,52.41035092000768,26.311584774082366,0.1739663469745176,0.0003327636498929778,0.000446794916865475,0.0003487175887935959,0.0007739036856997948,0.020222057255194804,2.107227419538507e-05,0.001,0.0,lambdaDTI=0.001,7.9911551438272e-07,0.0
0,0.0,nan,nan,nan,-14.721499063347508,59.07720864650867,29.658549432176496,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,0.0,0.01,0.0,lambdaDTI=0.01,nan,nan
10,0.02173784002661705,6.759746074676514,0.0007853517890907824,0.0003853461821563542,-14.418309564083982,55.093582945030235,27.658648582196687,0.17372734933699419,0.0003325529298622138,0.0004459830846568289,0.0003485961753756405,0.0007733548097030211,0.011212677584625744,1.2160872711400325e-05,0.01,0.0,lambdaDTI=0.01,7.853517890907824e-06,0.0
20,0.038172028958797455,1.935301661491394,0.00079911551438272,0.0013712802901864052,-14.20147028461969,52.41035352435133,26.31158608154182,0.17396634695828234,0.00033276365028661766,0.0004467949172025509,0.00034871758925876815,0.000773903686578393,0.020222058371887588,2.1072275206789155e-05,0.01,0.0,lambdaDTI=0.01,7.9911551438272e-06,0.0
0,0.0,nan,nan,nan,-14.721499063347508,59.07720864650867,29.658549432176496,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,0.0,0.1,0.0,lambdaDTI=0.1,nan,nan
